Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
17273614,0140044A,true,Rx,0,8,60,00,00,00,00,00,00,00,
17274775,04000002,true,Rx,0,8,60,00,01,00,30,00,00,53,
17277897,02A03028,true,Rx,0,8,00,B0,D1,09,00,00,80,00,
17282868,00613DF8,true,Rx,0,8,61,00,00,00,00,00,00,00,
17284051,01800028,true,Rx,0,8,60,00,00,00,00,00,00,00,
17292253,0102C02C,true,Rx,1,8,60,01,94,0D,C0,10,00,00,
17292877,01213FFC,true,Rx,0,8,6D,00,4C,00,70,01,08,00,
17297405,0360000A,true,Rx,0,8,60,00,00,00,00,14,00,80,
17298546,02C13428,true,Rx,0,8,60,00,08,80,00,00,00,00,
17299687,02E10DF4,true,Rx,0,8,60,A0,20,A0,90,00,08,00,
17302263,01200028,true,Rx,1,8,68,08,00,48,00,00,00,00,
17302901,00613DF8,true,Rx,0,8,83,00,00,00,00,00,00,00,
17312876,02A03028,true,Rx,0,8,00,90,81,01,00,00,00,00,
17314048,0140044A,true,Rx,0,8,80,00,00,18,10,00,00,00,
17316828,0261300A,true,Rx,0,8,00,00,00,27,80,00,00,C0,
17317230,0102C02C,true,Rx,1,8,80,01,94,0D,C0,10,00,00,
17317971,01213FFC,true,Rx,0,8,8D,00,4C,40,60,01,08,00,
17319816,0280142A,true,Rx,0,8,80,10,00,20,07,00,00,00,
17322977,00613DF8,true,Rx,0,8,C1,00,00,00,00,00,00,00,
17324171,01800028,true,Rx,0,8,80,00,00,00,00,00,00,00,
17332227,01200028,true,Rx,1,8,88,08,00,48,00,00,00,00,
17332791,0132C07C,true,Rx,1,8,01,0F,B0,55,D7,DC,01,05,
17332852,01613FFC,true,Rx,0,8,01,0F,B0,55,D7,DC,00,09,
17342246,0102C02C,true,Rx,1,8,CF,01,94,0D,C0,10,00,00,
17342901,00613DF8,true,Rx,0,8,03,00,00,00,00,00,00,00,
17344046,01213FFC,true,Rx,0,8,CD,00,4C,00,70,01,08,00,
17345160,01C030A2,true,Rx,0,8,C0,5B,40,01,89,01,14,00,
17347001,0261300A,true,Rx,0,8,40,00,00,27,80,00,00,C0,
17348148,02A03028,true,Rx,0,8,00,9F,81,01,00,00,00,00,
17349312,0240102A,true,Rx,0,8,60,00,00,00,00,00,00,00,
17350464,0280142A,true,Rx,0,8,C0,10,00,20,07,00,00,00,
17351650,03200008,true,Rx,0,8,00,00,00,00,00,80,00,00,
17352969,02C13428,true,Rx,0,8,80,00,08,80,00,00,00,00,
17354136,0140044A,true,Rx,0,8,C0,00,00,08,00,00,00,00,
17355280,02001022,true,Rx,0,8,40,00,00,01,15,90,10,00,
17356410,02E10DF4,true,Rx,0,8,8F,A0,2F,A0,90,00,08,00,
17362264,01200028,true,Rx,1,8,C8,00,00,48,00,00,00,00,
17362899,00613DF8,true,Rx,0,8,41,00,00,00,00,00,00,00,
17364085,01800028,true,Rx,0,8,C0,00,00,00,00,00,00,00,
17367163,0102C02C,true,Rx,1,8,0F,01,94,0D,C0,10,00,00,
17367818,01213FFC,true,Rx,0,8,0D,00,4C,00,60,41,08,00,
17377072,0261300A,true,Rx,0,8,80,00,00,27,80,00,00,C0,
17379795,0280142A,true,Rx,0,8,00,10,00,20,07,00,00,00,
17382962,00613DF8,true,Rx,0,8,83,00,00,00,00,00,00,00,
17384114,0240102A,true,Rx,0,8,83,00,00,00,00,00,00,00,
17385266,02A03028,true,Rx,0,8,00,9F,C1,09,00,00,00,00,
17389656,01C030A2,true,Rx,0,8,00,5B,40,01,89,01,14,00,
17392224,0102C02C,true,Rx,1,8,4F,01,94,0D,C0,10,00,00,
17392809,01200028,true,Rx,1,8,08,08,00,48,00,00,00,00,
17392871,01213FFC,true,Rx,0,8,4D,00,4C,40,70,01,08,00,
17394046,0140044A,true,Rx,0,8,00,00,00,18,00,00,00,00,
17395225,01E01266,true,Rx,0,8,60,00,00,00,00,00,00,00,
17396386,03A00002,true,Rx,0,8,60,00,00,00,00,00,00,00,
17398806,04200002,true,Rx,0,8,00,00,00,00,00,00,00,00,
17399951,02001022,true,Rx,0,8,80,00,00,01,15,90,10,00,
17402943,00613DF8,true,Rx,0,8,C1,00,00,00,00,00,00,00,
17404147,01800028,true,Rx,0,8,00,00,00,00,00,00,00,00,
17407154,0261300A,true,Rx,0,8,C0,00,00,27,80,00,00,C0,
17408286,02C13428,true,Rx,0,8,C0,00,08,80,00,00,00,00,
17409426,02E10DF4,true,Rx,0,8,CF,A0,0F,20,90,00,08,00,
17410572,0280142A,true,Rx,0,8,40,10,00,20,07,00,00,00,
17417140,0102C02C,true,Rx,1,8,8F,01,94,0D,C0,10,00,00,
17417805,01213FFC,true,Rx,0,8,8D,00,4C,00,70,01,08,00,
17418972,0240102A,true,Rx,0,8,C0,00,00,00,00,00,00,00,
17420127,02A03028,true,Rx,0,8,00,9F,81,01,00,00,00,00,
17422260,01200028,true,Rx,1,8,48,08,00,48,00,00,00,00,
17422898,00613DF8,true,Rx,0,8,03,00,00,00,00,00,00,00,
17424041,0340024C,true,Rx,0,8,60,00,00,00,0C,99,00,00,
17433607,0140044A,true,Rx,0,8,40,00,00,08,10,00,00,00,
17434707,01C030A2,true,Rx,0,8,40,5B,40,01,89,01,14,00,
17437106,0261300A,true,Rx,0,8,00,00,00,27,80,00,00,C0,
17439350,01E01266,true,Rx,0,8,80,00,06,00,00,00,40,00,
17440492,0280142A,true,Rx,0,8,80,10,00,28,07,00,00,00,
