Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
40215908,0140044A,true,Rx,0,8,60,00,00,00,00,00,00,00,
40217061,04000002,true,Rx,0,8,60,00,01,00,30,00,00,52,
40218213,02A03028,true,Rx,0,8,00,B0,C0,09,00,00,80,00,
40222707,00613DF8,true,Rx,0,8,63,00,00,00,00,00,00,00,
40223890,01800028,true,Rx,0,8,60,00,00,00,00,00,00,00,
40231945,0102C02C,true,Rx,1,8,60,01,B7,0D,C0,10,00,00,
40232581,01213FFC,true,Rx,0,8,6D,00,4C,00,70,41,08,00,
40237596,02C13428,true,Rx,0,8,60,00,08,80,00,00,00,00,
40238727,02E10DF4,true,Rx,0,8,60,A0,20,A0,90,00,08,00,
40239879,0360000A,true,Rx,0,8,60,00,00,00,00,14,00,80,
40242001,01200028,true,Rx,1,8,68,08,00,48,00,00,00,00,
40242641,00613DF8,true,Rx,0,8,83,00,00,00,00,00,00,00,
40252573,02A03028,true,Rx,0,8,00,90,91,01,00,00,00,00,
40255865,0140044A,true,Rx,0,8,80,00,00,19,10,00,00,00,
40256967,0102C02C,true,Rx,1,8,80,01,B7,0D,C0,10,00,00,
40257039,0280142A,true,Rx,0,8,00,10,00,20,07,00,00,00,
40258173,01213FFC,true,Rx,0,8,8D,00,4C,40,60,01,08,00,
40259310,0261300A,true,Rx,0,8,C0,00,00,27,80,00,00,C0,
40262726,00613DF8,true,Rx,0,8,C1,00,00,00,00,00,00,00,
40263909,01800028,true,Rx,0,8,80,00,00,00,00,00,00,00,
40271922,01C030A2,true,Rx,0,8,00,5B,40,01,89,01,14,00,
40271982,01200028,true,Rx,1,8,88,08,00,48,00,00,00,00,
40272583,0132C07C,true,Rx,1,8,01,0F,B0,55,FA,64,01,05,
40273067,01613FFC,true,Rx,0,8,01,0F,B0,55,FA,64,00,09,
40281758,02001022,true,Rx,0,8,40,00,00,01,35,90,10,43,
40282024,0102C02C,true,Rx,1,8,CF,01,B7,0D,C0,10,00,00,
40282932,00613DF8,true,Rx,0,8,03,00,00,00,00,00,00,00,
40284085,01213FFC,true,Rx,0,8,CD,00,4C,00,70,01,08,00,
40287040,0280142A,true,Rx,0,8,40,10,00,20,07,00,00,00,
40288194,02A03028,true,Rx,0,8,00,9F,81,01,00,00,00,00,
40289328,0261300A,true,Rx,0,8,00,00,00,27,80,00,00,C0,
40290513,03200008,true,Rx,0,8,00,00,00,00,00,80,00,00,
40292653,02C13428,true,Rx,0,8,80,00,08,80,00,00,00,00,
40293789,02E10DF4,true,Rx,0,8,8F,A0,2F,A0,90,00,08,00,
40295860,0140044A,true,Rx,0,8,C0,00,00,09,00,00,00,00,
40301495,0240102A,true,Rx,0,8,60,00,00,00,00,00,00,00,
40302050,01200028,true,Rx,1,8,C8,00,00,48,00,00,00,00,
40302678,00613DF8,true,Rx,0,8,41,00,00,00,00,00,00,00,
