Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
637611417,00613DF8,true,Rx,0,8,03,00,06,00,00,00,00,00,
637616462,01213FFC,true,Rx,0,8,4C,00,4D,00,F0,41,88,00,
637617623,01E01266,true,Rx,0,8,40,00,02,00,00,00,40,00,
637619662,0140044A,true,Rx,0,8,C0,00,00,18,00,00,00,00,
637620802,0261300A,true,Rx,0,8,00,00,00,27,80,00,00,C0,
637621959,0240102A,true,Rx,0,8,40,00,00,00,00,00,00,00,
637626380,02A03028,true,Rx,0,8,00,90,D4,19,10,2B,80,00,
637631402,00613DF8,true,Rx,0,8,41,00,06,00,00,00,00,00,
637632585,01800028,true,Rx,0,8,C0,00,78,00,00,00,00,00,
637633705,02C13428,true,Rx,0,8,40,00,58,80,6C,00,20,00,
637634821,02E10DF4,true,Rx,0,8,40,A9,20,A0,90,30,08,10,
637637863,0280142A,true,Rx,0,8,C0,50,00,20,07,00,00,00,
637641384,01213FFC,true,Rx,0,8,8C,00,4D,00,F0,01,88,00,
637646212,01C030A2,true,Rx,0,8,C0,5B,40,01,89,01,14,00,
637649784,0261300A,true,Rx,0,8,40,00,00,27,80,00,00,C0,
637651379,00613DF8,true,Rx,0,8,83,00,06,00,00,00,00,00,
637652716,02001022,true,Rx,0,8,40,00,00,01,35,90,10,43,
637656862,0240102A,true,Rx,0,8,81,00,00,00,00,00,00,00,
637659689,0140044A,true,Rx,0,8,00,00,00,08,00,00,00,00,
637661356,02A03028,true,Rx,0,8,00,90,84,11,10,2B,00,00,
637662529,01E01266,true,Rx,0,8,80,00,02,00,00,00,40,00,
637666395,01213FFC,true,Rx,0,8,CC,00,4D,00,E0,01,88,00,
637667855,0280142A,true,Rx,0,8,00,10,00,20,07,00,00,00,
637671404,00613DF8,true,Rx,0,8,C1,00,06,00,00,00,00,00,
637672618,01800028,true,Rx,0,8,00,00,78,00,00,00,00,00,
637679761,00400066,true,Rx,0,8,00,00,00,07,01,5E,40,7F,
637680893,0261300A,true,Rx,0,8,80,00,00,27,80,00,00,C0,
637681993,01613FFC,true,Rx,0,8,02,4E,BC,43,61,04,98,5E,
637686415,02C13428,true,Rx,0,8,80,00,58,80,6C,00,20,00,
637687546,02E10DF4,true,Rx,0,8,80,A9,00,20,90,30,08,10,
637691029,01C030A2,true,Rx,0,8,00,5B,40,01,89,01,14,00,
637692192,00613DF8,true,Rx,0,8,03,00,06,00,00,00,00,00,
637693344,01213FFC,true,Rx,0,8,0C,00,4D,00,F0,01,88,00,
637694510,0240102A,true,Rx,0,8,C1,00,00,00,00,00,00,00,
637696345,02A03028,true,Rx,0,8,00,90,84,11,10,2B,00,00,
637697537,03200008,true,Rx,0,8,00,00,00,00,00,80,00,00,
637698672,02001022,true,Rx,0,8,80,00,00,01,35,90,10,43,
637699836,0140044A,true,Rx,0,8,40,00,00,08,00,00,00,00,
637700972,0280142A,true,Rx,0,8,40,50,00,28,07,00,00,00,
637707219,01E01266,true,Rx,0,8,C0,00,02,00,00,00,40,00,
637709722,0261300A,true,Rx,0,8,C0,00,00,27,80,00,00,C0,
637711400,00613DF8,true,Rx,0,8,41,00,06,00,00,00,00,00,
637712583,01800028,true,Rx,0,8,40,00,78,00,00,00,00,00,
637716448,01213FFC,true,Rx,0,8,4C,00,4D,00,E0,41,88,00,
637726849,0240102A,true,Rx,0,8,00,00,00,00,00,00,00,00,
637727991,0280142A,true,Rx,0,8,80,50,00,20,07,00,00,00,
637731403,00613DF8,true,Rx,0,8,83,00,06,00,00,00,00,00,
637732524,02A03028,true,Rx,0,8,00,90,C4,19,10,2B,00,00,
637736154,01C030A2,true,Rx,0,8,40,5B,40,01,89,01,14,00,
637739622,0140044A,true,Rx,0,8,80,00,00,18,00,00,00,00,
637740754,0261300A,true,Rx,0,8,00,00,00,27,80,00,00,C0,
637741895,01213FFC,true,Rx,0,8,8C,00,4D,00,F0,01,88,00,
637743020,02001022,true,Rx,0,8,C0,00,00,01,35,90,10,43,
637744154,02C13428,true,Rx,0,8,C0,00,58,80,6C,00,20,00,
637745258,02E10DF4,true,Rx,0,8,C0,A9,20,A0,90,30,08,10,
637751401,00613DF8,true,Rx,0,8,C1,00,06,00,00,00,00,00,
637752584,01800028,true,Rx,0,8,80,00,78,00,00,00,00,00,
637753745,01E01266,true,Rx,0,8,00,00,02,00,00,00,40,00,
637754891,00400066,true,Rx,0,8,40,00,00,00,01,5E,40,7F,
637757852,0280142A,true,Rx,0,8,C0,10,00,20,07,00,00,00,
637761840,0240102A,true,Rx,0,8,41,00,00,00,00,00,00,00,
637766407,01213FFC,true,Rx,0,8,CC,00,4D,00,F0,01,88,00,
637767537,02A03028,true,Rx,0,8,00,90,84,11,10,2B,00,00,
637770070,0261300A,true,Rx,0,8,40,00,00,27,80,00,00,C0,
637771356,00613DF8,true,Rx,0,8,03,00,06,00,00,00,00,00,
637772498,0340024C,true,Rx,0,8,C0,00,60,00,0C,96,00,00,
637776817,03C0002A,true,Rx,0,8,00,00,30,C0,2D,00,9F,00,
637779633,0140044A,true,Rx,0,8,C0,00,00,08,00,00,00,00,
637780867,01C030A2,true,Rx,0,8,80,5B,40,01,89,01,14,00,
637787607,02001022,true,Rx,0,8,00,00,00,01,35,90,10,43,
637788748,0280142A,true,Rx,0,8,00,50,00,20,07,00,00,00,
637791456,00613DF8,true,Rx,0,8,41,00,06,00,00,00,00,00,
637792607,01213FFC,true,Rx,0,8,0C,00,4D,00,E0,01,88,00,
637793790,01800028,true,Rx,0,8,C0,00,78,00,00,00,00,00,
637794915,03801028,true,Rx,0,8,4C,00,20,08,DC,43,00,00,
637796337,02C13428,true,Rx,0,8,00,00,58,80,6C,00,20,00,
637797482,01E01266,true,Rx,0,8,40,00,06,00,00,00,40,00,
637798647,0240102A,true,Rx,0,8,83,00,00,00,00,00,00,00,
637799779,02E10DF4,true,Rx,0,8,00,A9,00,20,90,30,08,10,
637800914,0261300A,true,Rx,0,8,80,00,00,27,80,00,00,C0,
637802037,02A03028,true,Rx,0,8,00,90,84,19,10,2B,00,00,
637803225,03200008,true,Rx,0,8,00,00,00,00,00,80,00,00,
637811377,00613DF8,true,Rx,0,8,83,00,06,00,00,00,00,00,
637816513,01213FFC,true,Rx,0,8,4C,00,4D,00,F0,41,88,00,
637817851,0280142A,true,Rx,0,8,40,50,00,20,07,00,00,00,
637819682,0140044A,true,Rx,0,8,00,00,00,18,00,00,00,00,
637820834,04000002,true,Rx,0,8,C0,00,01,00,B4,00,00,4E,
637826139,01C030A2,true,Rx,0,8,C0,5B,40,01,89,01,14,00,
637830082,00400066,true,Rx,0,8,80,00,00,01,01,5E,40,7F,
637831214,0261300A,true,Rx,0,8,C0,00,00,27,80,00,00,C0,
637832377,00613DF8,true,Rx,0,8,C1,00,06,00,00,00,00,00,
637833593,01800028,true,Rx,0,8,00,00,78,00,00,00,00,00,
637834717,02001022,true,Rx,0,8,40,00,00,01,35,90,10,43,
637835882,0240102A,true,Rx,0,8,C0,00,00,00,00,00,00,00,
637837016,02A03028,true,Rx,0,8,00,10,44,11,10,2B,00,00,
637841391,01213FFC,true,Rx,0,8,8C,00,4D,00,F0,01,88,00,
637842563,01E01266,true,Rx,0,8,80,00,02,00,00,00,40,00,
637847840,0280142A,true,Rx,0,8,80,10,00,20,07,00,00,00,
637851382,00613DF8,true,Rx,0,8,03,00,06,00,00,00,00,00,
637852502,02C13428,true,Rx,0,8,40,00,58,80,6C,00,20,00,
637853614,02E10DF4,true,Rx,0,8,40,A9,20,A0,90,30,08,10,
637859651,0140044A,true,Rx,0,8,40,00,00,08,00,00,00,00,
637860793,0261300A,true,Rx,0,8,00,00,00,27,80,00,00,C0,
637866349,01213FFC,true,Rx,0,8,CC,00,4D,00,E0,01,88,00,
637867522,0240102A,true,Rx,0,8,01,00,00,00,00,00,00,00,
637870994,01C030A2,true,Rx,0,8,00,5B,40,01,89,01,14,00,
637872148,00613DF8,true,Rx,0,8,41,00,06,00,00,00,00,00,
637873331,01800028,true,Rx,0,8,40,00,78,00,00,00,00,00,
637874466,02A03028,true,Rx,0,8,00,90,94,11,10,2B,80,00,
