Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4120915,0102C02C,true,Rx,1,8,40,01,9A,0C,C0,11,00,00,
4121554,01213FFC,true,Rx,0,8,CC,00,4C,00,70,41,08,00,
4123162,01C030A2,true,Rx,0,8,40,5B,40,01,89,01,14,00,
4125796,0140044A,true,Rx,0,8,80,00,00,18,00,00,00,00,
4126928,00400066,true,Rx,0,8,40,00,00,04,01,5E,40,7F,
4129389,0280142A,true,Rx,0,8,00,50,00,20,07,00,00,00,
4130903,00608024,true,Rx,1,8,80,00,00,00,00,01,04,3E,
4136374,0261300A,true,Rx,0,8,80,00,00,27,80,00,00,C0,
4137536,00613DF8,true,Rx,0,8,C1,00,00,00,00,00,00,00,
4138739,01800028,true,Rx,0,8,00,00,00,00,00,00,00,00,
4139906,01E01266,true,Rx,0,8,40,00,02,00,00,00,40,00,
4141038,02001022,true,Rx,0,8,C0,00,00,01,35,90,10,43,
4142174,02A03028,true,Rx,0,8,00,90,C4,09,10,00,00,00,
4145800,0102C02C,true,Rx,1,8,80,01,9A,0C,C0,10,00,00,
4146365,01200028,true,Rx,1,8,08,08,00,48,F0,00,30,2D,
4146468,01213FFC,true,Rx,0,8,0C,00,4C,00,70,01,08,00,
4150904,0240102A,true,Rx,0,8,41,00,00,00,00,00,00,00,
4152045,02C13428,true,Rx,0,8,C0,00,08,80,00,00,20,00,
4153157,02E10DF4,true,Rx,0,8,C0,A9,20,A0,90,30,08,10,
4156452,00613DF8,true,Rx,0,8,03,00,00,00,00,00,00,00,
4159358,0280142A,true,Rx,0,8,40,10,00,20,07,00,00,00,
4165790,0140044A,true,Rx,0,8,C0,00,00,08,00,00,00,00,
4166922,0261300A,true,Rx,0,8,C0,00,00,27,80,00,00,C0,
4168022,01C030A2,true,Rx,0,8,80,5B,40,01,89,01,14,00,
4170814,0102C02C,true,Rx,1,8,C0,01,9A,0C,C0,10,00,00,
4171453,01213FFC,true,Rx,0,8,4C,00,4C,00,60,01,08,00,
4172586,02A03028,true,Rx,0,8,00,90,84,01,10,00,00,00,
4175790,01200028,true,Rx,1,8,48,00,00,48,F0,00,30,2D,
4176446,00613DF8,true,Rx,0,8,41,00,00,00,00,00,00,00,
4177644,01800028,true,Rx,0,8,40,00,00,00,00,00,00,00,
4182470,02001022,true,Rx,0,8,00,00,00,01,35,90,10,43,
4184415,01E01266,true,Rx,0,8,80,00,02,00,00,00,40,00,
4185856,0240102A,true,Rx,0,8,80,00,00,00,00,00,00,00,
4189342,0280142A,true,Rx,0,8,80,50,00,20,07,00,00,00,
4195857,0102C02C,true,Rx,1,8,00,01,9A,0C,C0,10,00,00,
4196503,00613DF8,true,Rx,0,8,83,00,00,00,00,00,00,00,
4197649,01213FFC,true,Rx,0,8,8C,00,4C,00,70,01,08,00,
4198782,0261300A,true,Rx,0,8,00,00,00,27,80,00,00,C0,
4201716,00400066,true,Rx,0,8,80,00,00,05,01,5E,40,7F,
