Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
13728646,01C030A2,true,Rx,0,8,40,5B,40,01,89,01,14,00,
13729792,0280142A,true,Rx,0,8,80,50,00,20,07,00,00,00,
13730935,02A03028,true,Rx,0,8,00,90,84,01,10,00,00,00,
13732119,03200008,true,Rx,0,8,00,00,00,00,00,80,00,00,
13736447,00613DF8,true,Rx,0,8,83,00,00,00,00,00,00,00,
13737589,02001022,true,Rx,0,8,80,00,00,01,35,90,10,43,
13740038,0240102A,true,Rx,0,8,01,00,00,00,00,00,00,00,
13750781,0102C02C,true,Rx,1,8,80,01,C4,0C,C0,10,00,00,
13751406,01213FFC,true,Rx,0,8,8C,00,4C,00,60,01,08,00,
13753587,0140044A,true,Rx,0,8,C0,00,00,08,00,00,00,00,
13755802,01200028,true,Rx,1,8,C8,00,00,48,F0,00,30,2D,
13756442,00613DF8,true,Rx,0,8,C1,00,00,00,00,00,00,00,
13757647,01800028,true,Rx,0,8,00,00,00,00,00,00,00,00,
13758782,0261300A,true,Rx,0,8,40,00,00,27,80,00,00,C0,
13759936,0280142A,true,Rx,0,8,C0,10,00,20,07,00,00,00,
13761100,01E01266,true,Rx,0,8,C0,00,02,00,00,00,40,00,
13762246,02A03028,true,Rx,0,8,00,10,14,01,10,00,80,00,
13763389,02C13428,true,Rx,0,8,00,00,08,80,00,00,20,00,
13764525,02E10DF4,true,Rx,0,8,00,A9,00,20,90,30,08,10,
13772760,01C030A2,true,Rx,0,8,80,5B,40,01,89,01,14,00,
13774985,0240102A,true,Rx,0,8,41,00,00,00,00,00,00,00,
13775788,0102C02C,true,Rx,1,8,C0,01,C4,0C,C0,10,00,00,
13776438,00613DF8,true,Rx,0,8,03,00,00,00,00,00,00,00,
13777572,00400066,true,Rx,0,8,40,00,00,02,01,5E,40,7F,
13778727,01213FFC,true,Rx,0,8,CC,00,4C,00,70,01,08,00,
13781152,00608024,true,Rx,1,8,80,00,00,00,00,01,02,3E,
13782827,02001022,true,Rx,0,8,C0,00,00,01,35,90,10,43,
13785755,01200028,true,Rx,1,8,08,08,00,48,F0,00,30,2D,
13786865,0280142A,true,Rx,0,8,00,50,00,28,07,00,00,00,
13788006,0261300A,true,Rx,0,8,80,00,00,27,80,00,00,C0,
13793560,0140044A,true,Rx,0,8,00,00,00,18,00,00,00,00,
13796458,00613DF8,true,Rx,0,8,41,00,00,00,00,00,00,00,
13797651,01800028,true,Rx,0,8,40,00,00,00,00,00,00,00,
13798792,02A03028,true,Rx,0,8,00,90,C4,09,10,00,00,00,
13801027,0102C02C,true,Rx,1,8,00,01,C4,0C,C0,10,00,00,
13801667,01213FFC,true,Rx,0,8,0C,00,4C,00,60,41,08,00,
13805901,01E01266,true,Rx,0,8,00,00,02,00,00,00,40,00,
13809981,0240102A,true,Rx,0,8,80,00,00,00,00,00,00,00,
13811412,02C13428,true,Rx,0,8,40,00,08,80,00,00,20,00,
13812521,02E10DF4,true,Rx,0,8,40,A9,20,A0,90,30,08,10,
13815766,01200028,true,Rx,1,8,48,08,00,48,F0,00,30,2D,
13816413,00613DF8,true,Rx,0,8,83,00,00,00,00,00,00,00,
13817538,0261300A,true,Rx,0,8,C0,00,00,27,80,00,00,C0,
13818661,01C030A2,true,Rx,0,8,C0,5B,40,01,89,01,14,00,
13819817,0280142A,true,Rx,0,8,40,50,00,20,07,00,00,00,
13825763,0102C02C,true,Rx,1,8,40,01,C4,0C,C0,10,00,00,
13826389,01213FFC,true,Rx,0,8,4C,00,4C,00,70,01,08,00,
13827524,02001022,true,Rx,0,8,00,00,00,01,35,90,10,43,
13831367,02A03028,true,Rx,0,8,00,90,84,01,10,00,00,00,
13832548,03200008,true,Rx,0,8,00,00,00,00,00,80,00,00,
13833711,0140044A,true,Rx,0,8,40,00,00,08,00,00,00,00,
13836418,00613DF8,true,Rx,0,8,C1,00,00,00,00,00,00,00,
13837601,01800028,true,Rx,0,8,80,00,00,00,00,00,00,00,
13844958,0240102A,true,Rx,0,8,C1,00,00,00,00,00,00,00,
13845730,01200028,true,Rx,1,8,88,08,00,48,F0,00,30,2D,
13846864,0280142A,true,Rx,0,8,80,10,00,20,07,00,00,00,
13847997,0261300A,true,Rx,0,8,00,00,00,27,80,00,00,C0,
13850779,0102C02C,true,Rx,1,8,80,01,C4,0C,C0,10,00,00,
13850913,01E01266,true,Rx,0,8,40,00,02,00,00,00,40,00,
13852057,01213FFC,true,Rx,0,8,8C,00,4C,00,70,01,08,00,
13853189,00400066,true,Rx,0,8,80,00,00,03,01,5E,40,7F,
13855888,00608024,true,Rx,1,8,C0,00,00,00,00,01,03,3E,
13856538,00613DF8,true,Rx,0,8,03,00,00,00,00,00,00,00,
13862824,01C030A2,true,Rx,0,8,00,5B,40,01,89,01,14,00,
13866375,02A03028,true,Rx,0,8,00,90,84,01,10,00,00,00,
13867517,02C13428,true,Rx,0,8,80,00,08,80,00,00,20,00,
13868648,02E10DF4,true,Rx,0,8,80,A9,00,20,90,30,08,10,
13872749,02001022,true,Rx,0,8,40,00,00,01,35,90,10,43,
13873911,0140044A,true,Rx,0,8,80,00,00,18,00,00,00,00,
13875837,0102C02C,true,Rx,1,8,C0,01,C4,0C,C0,10,00,00,
13876446,01200028,true,Rx,1,8,C8,00,00,48,F0,00,30,2D,
13876520,00613DF8,true,Rx,0,8,41,00,00,00,00,00,00,00,
13877675,01213FFC,true,Rx,0,8,CC,00,4C,00,60,01,08,00,
13878858,01800028,true,Rx,0,8,C0,00,00,00,00,00,00,00,
13880003,0261300A,true,Rx,0,8,40,00,00,27,80,00,00,C0,
13881159,0240102A,true,Rx,0,8,03,00,00,00,00,00,00,00,
13882305,0280142A,true,Rx,0,8,C0,50,00,20,07,00,00,00,
13883439,0340024C,true,Rx,0,8,81,00,10,01,0C,AD,00,00,
13885828,0132C07C,true,Rx,1,8,19,05,01,01,01,02,01,01,
13886456,01613FFC,true,Rx,0,8,19,05,01,01,01,02,01,01,
13889966,03C0002A,true,Rx,0,8,00,00,30,C0,2D,00,1F,00,
13896088,01E01266,true,Rx,0,8,80,00,02,00,00,00,40,00,
13897262,00613DF8,true,Rx,0,8,83,00,00,00,00,00,00,00,
