Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
3208631,0280142A,true,Rx,0,8,C0,70,00,20,07,00,00,00,
3238588,0280142A,true,Rx,0,8,00,30,00,20,07,00,00,00,
3268584,0280142A,true,Rx,0,8,40,70,00,20,07,00,00,00,
3298562,0280142A,true,Rx,0,8,80,70,00,20,07,00,00,00,
3324355,01C030A2,true,Rx,0,8,00,7B,40,01,89,01,14,00,
3328570,0280142A,true,Rx,0,8,C0,30,00,20,07,00,00,00,
3358568,0280142A,true,Rx,0,8,00,70,00,20,07,00,00,00,
3369280,01C030A2,true,Rx,0,8,40,79,40,01,89,01,04,00,
3370987,01213FFC,true,Rx,0,8,C8,02,4C,00,70,40,08,00,
3374454,02001022,true,Rx,0,8,80,00,00,01,35,90,10,43,
3375618,0240102A,true,Rx,0,8,60,00,00,00,00,00,00,00,
3376738,0261300A,true,Rx,0,8,C0,00,00,27,80,40,00,C0,
3381006,02C13428,true,Rx,0,8,40,00,08,80,00,00,00,00,
3382137,02E10DF4,true,Rx,0,8,40,A1,20,A0,90,00,08,00,
3386045,00613DF8,true,Rx,0,8,01,00,00,40,00,00,00,00,
3387239,01800028,true,Rx,0,8,40,00,00,00,00,00,00,00,
3388547,0280142A,true,Rx,0,8,40,70,00,A0,37,00,00,00,
3395974,01213FFC,true,Rx,0,8,08,02,CC,00,70,00,08,00,
3400998,02A03028,true,Rx,0,8,00,80,84,01,00,00,00,00,
3405967,00613DF8,true,Rx,0,8,43,00,00,40,00,00,00,00,
3407089,0261300A,true,Rx,0,8,00,00,00,27,80,40,00,C0,
3409447,01C030A2,true,Rx,0,8,80,7B,40,01,89,01,14,00,
3410598,0240102A,true,Rx,0,8,81,00,00,00,00,00,00,00,
3418557,0280142A,true,Rx,0,8,80,10,00,20,17,00,00,00,
3419688,02001022,true,Rx,0,8,C0,00,00,01,35,90,10,43,
3421015,01213FFC,true,Rx,0,8,48,02,4C,00,60,00,08,00,
3426017,00613DF8,true,Rx,0,8,81,00,00,40,00,00,00,00,
3427200,01800028,true,Rx,0,8,80,00,00,00,00,00,00,00,
3435960,02A03028,true,Rx,0,8,00,80,84,01,00,00,00,00,
3437082,0261300A,true,Rx,0,8,40,00,00,27,80,40,00,C0,
3438223,02C13428,true,Rx,0,8,80,00,08,E0,00,00,00,00,
3439360,02E10DF4,true,Rx,0,8,80,A1,00,20,90,00,08,00,
3440544,03200008,true,Rx,0,8,00,00,00,00,00,80,00,00,
3445373,0240102A,true,Rx,0,8,C1,00,00,00,00,00,00,00,
3446534,00613DF8,true,Rx,0,8,C3,00,00,40,00,00,00,00,
3447687,01213FFC,true,Rx,0,8,88,02,4C,00,70,00,08,00,
3448811,0280142A,true,Rx,0,8,C0,50,00,20,17,00,00,00,
3454745,01C030A2,true,Rx,0,8,C0,5B,40,01,89,01,14,00,
3464328,02001022,true,Rx,0,8,00,00,00,01,35,90,10,43,
3466026,00613DF8,true,Rx,0,8,01,00,00,40,00,00,00,00,
3467209,01800028,true,Rx,0,8,C0,00,00,00,00,00,00,00,
3468336,0261300A,true,Rx,0,8,80,00,00,27,80,40,00,C0,
3470966,01213FFC,true,Rx,0,8,C8,02,4C,00,60,40,08,00,
3472117,02A03028,true,Rx,0,8,00,00,44,09,00,00,00,00,
3478588,0280142A,true,Rx,0,8,00,50,00,20,17,00,00,00,
3480389,0240102A,true,Rx,0,8,00,00,00,00,00,00,00,00,
3485982,00613DF8,true,Rx,0,8,43,00,00,40,00,00,00,00,
3490952,02C13428,true,Rx,0,8,C0,00,08,E0,00,00,00,00,
3492082,02E10DF4,true,Rx,0,8,C0,A1,20,A0,90,00,08,00,
3495972,01213FFC,true,Rx,0,8,08,02,4C,00,70,00,08,00,
3497092,0261300A,true,Rx,0,8,C0,00,00,27,80,40,00,C0,
3499492,01C030A2,true,Rx,0,8,00,5B,40,01,89,01,14,00,
3506055,00613DF8,true,Rx,0,8,81,00,00,40,00,00,00,00,
3507258,01800028,true,Rx,0,8,00,00,00,00,00,00,00,00,
3508402,02A03028,true,Rx,0,8,00,80,84,01,00,00,00,00,
3509526,02001022,true,Rx,0,8,40,00,00,01,35,90,10,43,
3510660,0280142A,true,Rx,0,8,40,10,00,20,17,00,00,00,
3515366,0240102A,true,Rx,0,8,41,00,00,00,00,00,00,00,
3521029,01213FFC,true,Rx,0,8,48,02,4C,00,70,00,08,00,
3525961,00613DF8,true,Rx,0,8,C3,00,00,40,00,00,00,00,
3527092,0261300A,true,Rx,0,8,00,00,00,27,80,40,00,C0,
3528224,0340024C,true,Rx,0,8,40,00,00,00,0B,8C,00,00,
3538533,0280142A,true,Rx,0,8,80,50,00,28,17,00,00,00,
3540995,02A03028,true,Rx,0,8,00,80,84,01,00,00,00,00,
3542178,03200008,true,Rx,0,8,00,00,00,00,00,80,00,00,
3544649,01C030A2,true,Rx,0,8,40,5B,40,01,89,01,14,00,
3546048,00613DF8,true,Rx,0,8,01,00,00,40,00,00,00,00,
3547209,01213FFC,true,Rx,0,8,88,02,4C,00,60,00,08,00,
3548397,01800028,true,Rx,0,8,40,00,00,00,00,00,00,00,
3549550,02C13428,true,Rx,0,8,00,00,08,E0,00,00,00,00,
3550707,0240102A,true,Rx,0,8,81,00,00,00,00,00,00,00,
3551851,02E10DF4,true,Rx,0,8,00,A1,00,20,90,00,08,00,
3554395,02001022,true,Rx,0,8,80,00,00,01,35,90,10,43,
3557414,0261300A,true,Rx,0,8,40,00,00,27,80,40,00,C0,
3565982,00613DF8,true,Rx,0,8,43,00,00,40,00,00,00,00,
3568549,0280142A,true,Rx,0,8,C0,50,00,20,17,00,00,00,
3570970,01213FFC,true,Rx,0,8,C8,02,4C,00,70,40,08,00,
3575962,02A03028,true,Rx,0,8,00,80,C4,09,00,00,00,00,
3585326,0240102A,true,Rx,0,8,C0,00,00,00,00,00,00,00,
3586508,00613DF8,true,Rx,0,8,81,00,00,40,00,00,00,00,
3587691,01800028,true,Rx,0,8,80,00,00,00,00,00,00,00,
3588816,0261300A,true,Rx,0,8,80,00,00,27,80,40,00,C0,
3589919,01C030A2,true,Rx,0,8,80,5B,40,01,89,01,14,00,
3591074,03801028,true,Rx,0,8,C0,00,20,08,44,43,00,00,
3596004,01213FFC,true,Rx,0,8,08,02,4C,00,70,00,08,00,
3597165,01613FFC,true,Rx,0,8,10,10,01,03,02,03,00,01,
3598596,0280142A,true,Rx,0,8,00,10,00,20,17,00,00,00,
3599732,02001022,true,Rx,0,8,C0,00,00,01,35,90,10,43,
3601040,02C13428,true,Rx,0,8,40,00,08,E0,00,00,00,00,
3602181,02E10DF4,true,Rx,0,8,40,A1,20,A0,90,00,08,00,
3605972,00613DF8,true,Rx,0,8,C3,00,00,40,00,00,00,00,
3610952,02A03028,true,Rx,0,8,00,80,94,01,00,00,80,00,
3617831,0261300A,true,Rx,0,8,C0,00,00,27,80,40,00,C0,
3620325,0240102A,true,Rx,0,8,01,00,00,00,00,00,00,00,
3621477,01213FFC,true,Rx,0,8,48,02,4C,00,60,00,08,00,
3626049,00613DF8,true,Rx,0,8,01,00,00,40,00,00,00,00,
3627231,01800028,true,Rx,0,8,C0,00,00,00,00,00,00,00,
3628519,0280142A,true,Rx,0,8,40,50,00,20,17,00,00,00,
3634672,01C030A2,true,Rx,0,8,C0,5B,40,01,89,01,14,00,
3644340,02001022,true,Rx,0,8,00,00,00,01,35,90,10,43,
3645501,03C0002A,true,Rx,0,8,00,00,00,00,00,00,99,00,
3646664,00613DF8,true,Rx,0,8,43,00,00,40,00,00,00,00,
3647809,01213FFC,true,Rx,0,8,88,02,4C,00,70,00,08,00,
3648934,0261300A,true,Rx,0,8,00,00,00,27,80,40,00,C0,
3650079,02A03028,true,Rx,0,8,00,80,84,01,00,00,00,00,
3651265,03200008,true,Rx,0,8,00,00,00,00,00,80,00,00,
3655308,0240102A,true,Rx,0,8,43,00,00,00,00,00,00,00,
3656459,02C13428,true,Rx,0,8,80,00,08,E0,00,00,00,00,
3657581,02E10DF4,true,Rx,0,8,80,A1,20,A0,90,00,08,00,
3658716,0280142A,true,Rx,0,8,80,50,00,20,17,00,00,00,
3665987,00613DF8,true,Rx,0,8,81,00,00,40,00,00,00,00,
