Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
144295,0032C01E,true,Rx,1,8,C0,00,14,00,04,00,60,00,
144864,00F2C006,true,Rx,1,8,4C,00,B0,00,F0,1E,00,00,
145607,00E00020,true,Rx,1,8,03,C0,00,13,04,61,00,00,
150407,01200028,true,Rx,1,8,48,08,00,43,F0,00,33,27,
151042,00613DF8,true,Rx,0,8,03,00,0E,20,00,00,00,40,
151458,00C24008,true,Rx,1,8,0D,00,F2,00,80,00,80,00,
152170,0340024C,true,Rx,0,8,41,00,E0,01,03,AC,08,00,
155631,0022C01E,true,Rx,1,8,04,0B,40,89,C4,00,A4,60,
156196,0012C024,true,Rx,1,8,A4,A1,00,00,C5,FF,B8,00,
156775,0032C01E,true,Rx,1,8,00,00,14,00,04,00,60,00,
157363,00524000,true,Rx,1,8,40,00,00,00,C0,00,C0,00,
157922,00B00002,true,Rx,1,8,80,00,A5,AD,F4,3B,C3,35,
158490,00D28026,true,Rx,1,8,0A,8F,67,00,C0,00,00,00,
159069,01100014,true,Rx,1,8,80,00,00,00,00,11,20,00,
159636,01500006,true,Rx,1,8,05,0F,08,35,2C,89,00,00,
160207,01700012,true,Rx,1,8,0B,C0,80,00,AA,AA,00,00,
160930,0102C02C,true,Rx,1,8,0F,C0,30,0E,C0,30,2B,AE,
161509,00C24008,true,Rx,1,8,FD,00,02,00,80,00,80,00,
161540,01213FFC,true,Rx,0,8,4E,02,5D,80,F0,80,B8,00,
162091,00E00020,true,Rx,1,8,03,C0,00,13,04,63,00,00,
162659,01600022,true,Rx,1,8,40,00,AA,AA,00,00,00,00,
163228,00F2C006,true,Rx,1,8,88,00,B0,00,F0,1D,00,00,
166137,02A03028,true,Rx,0,8,00,9F,81,51,1A,2C,00,00,
167319,03200008,true,Rx,0,8,00,00,00,00,00,80,00,00,
167642,0022C01E,true,Rx,1,8,40,0B,40,89,44,00,24,60,
168218,0032C01E,true,Rx,1,8,42,00,84,00,04,00,60,00,
168445,0280142A,true,Rx,0,8,C0,50,00,20,17,00,00,00,
169612,01E01266,true,Rx,0,8,40,00,03,00,00,00,40,00,
169729,0012C024,true,Rx,1,8,AC,A1,00,00,C5,FF,B8,00,
170310,00524000,true,Rx,1,8,40,00,00,00,C0,00,C0,00,
170734,01C030A2,true,Rx,0,8,C0,5B,40,01,89,01,14,00,
170871,00D28026,true,Rx,1,8,4E,8F,67,00,C0,00,00,00,
171459,00C24008,true,Rx,1,8,ED,00,12,00,80,00,80,00,
171882,00613DF8,true,Rx,0,8,41,00,0E,20,00,00,00,40,
173074,01800028,true,Rx,0,8,40,00,7A,00,00,00,00,00,
174219,0140044A,true,Rx,0,8,C0,00,00,0B,10,00,00,00,
175342,0261300A,true,Rx,0,8,40,00,00,27,80,40,00,C0,
175643,00B00002,true,Rx,1,8,C0,00,A5,AD,F4,3B,C3,35,
176223,01100014,true,Rx,1,8,C0,00,00,00,00,11,20,00,
176460,02C13428,true,Rx,0,8,01,02,78,8A,89,CF,20,00,
177545,00E00020,true,Rx,1,8,03,C0,00,13,04,61,00,00,
177628,0240102A,true,Rx,0,8,00,00,00,00,00,00,00,00,
178754,02E10DF4,true,Rx,0,8,0F,A9,2F,AC,99,3A,F8,18,
179662,0022C01E,true,Rx,1,8,84,0B,40,89,C4,00,A4,60,
180231,0032C01E,true,Rx,1,8,80,00,14,00,04,00,60,00,
180800,01200028,true,Rx,1,8,88,40,00,41,F0,00,33,27,
181450,00C24008,true,Rx,1,8,DD,00,22,00,80,00,80,00,
183769,0012C024,true,Rx,1,8,A4,A1,00,00,C5,FF,B8,00,
184221,02001022,true,Rx,0,8,00,00,00,01,35,90,10,40,
184356,00524000,true,Rx,1,8,40,00,00,00,C0,00,C0,00,
184915,00D28026,true,Rx,1,8,8A,8F,67,00,C0,00,00,00,
185369,00400066,true,Rx,0,8,00,00,00,03,01,5E,40,7F,
185485,00F2C006,true,Rx,1,8,CC,00,B0,00,F0,1D,00,00,
186044,0102C02C,true,Rx,1,8,4F,C8,30,0E,C0,10,2B,AE,
186491,01213FFC,true,Rx,0,8,8E,02,5D,C0,F0,80,B8,00,
190698,00608024,true,Rx,1,8,40,00,00,00,00,01,03,3E,
191313,00613DF8,true,Rx,0,8,83,00,0E,20,01,00,00,40,
191450,00C24008,true,Rx,1,8,CD,00,32,00,80,00,80,00,
191998,0022C01E,true,Rx,1,8,C4,0B,40,89,C4,00,A4,60,
192576,0032C01E,true,Rx,1,8,C0,00,14,00,04,00,60,00,
193548,00E00020,true,Rx,1,8,03,C0,00,13,04,61,00,00,
195658,00B00002,true,Rx,1,8,00,00,A5,AD,F4,3B,C3,35,
196238,01100014,true,Rx,1,8,00,00,00,04,00,11,20,00,
197308,0280142A,true,Rx,0,8,00,10,00,20,17,00,00,00,
197755,0012C024,true,Rx,1,8,AC,A1,00,00,C5,FF,B8,00,
198344,00524000,true,Rx,1,8,40,00,00,00,C0,00,C0,00,
198901,00D28026,true,Rx,1,8,CA,8F,67,00,C0,00,00,00,
199386,0261300A,true,Rx,0,8,80,00,00,27,80,40,00,C0,
199492,01828002,true,Rx,1,8,00,80,00,7F,00,00,00,00,
201327,02A03028,true,Rx,0,8,00,9F,91,11,1A,2C,80,00,
201444,00C24008,true,Rx,1,8,BD,00,42,00,80,00,80,00,
203669,0022C01E,true,Rx,1,8,04,0B,40,89,C4,00,A4,60,
204237,0032C01E,true,Rx,1,8,02,00,94,00,04,00,60,00,
204806,00F2C006,true,Rx,1,8,0C,00,B0,00,F0,1D,00,00,
209573,00E00020,true,Rx,1,8,4B,C0,00,13,04,60,00,00,
210446,0102C02C,true,Rx,1,8,8F,C0,30,0E,C0,10,2B,AE,
211016,01200028,true,Rx,1,8,C8,08,00,41,F0,00,33,27,
211109,00613DF8,true,Rx,0,8,C1,00,0E,20,00,00,00,40,
211586,00C24008,true,Rx,1,8,AD,00,52,00,80,00,80,00,
212147,0012C024,true,Rx,1,8,A4,A1,00,00,C5,FF,B8,00,
212240,01213FFC,true,Rx,0,8,CE,02,5D,80,E0,80,B8,00,
212737,00524000,true,Rx,1,8,40,00,00,00,C0,00,C0,00,
213305,00D28026,true,Rx,1,8,0A,8F,67,00,C0,00,00,00,
213419,01800028,true,Rx,0,8,80,00,7E,00,00,00,00,00,
214579,0140044A,true,Rx,0,8,00,00,00,0B,00,00,00,00,
215710,01C030A2,true,Rx,0,8,00,5B,40,01,89,01,14,00,
215724,0022C01E,true,Rx,1,8,40,0B,40,89,44,00,24,60,
216273,0032C01E,true,Rx,1,8,40,00,04,00,04,00,60,00,
216821,00B00002,true,Rx,1,8,40,00,A5,AD,F4,3B,C3,35,
216862,01E01266,true,Rx,0,8,80,00,03,00,00,00,40,00,
