Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
307398162,02C13428,true,Rx,0,8,80,00,D8,80,88,00,20,00,
307399284,02E10DF4,true,Rx,0,8,80,A9,00,20,80,30,08,10,
307402219,02A03028,true,Rx,0,8,00,90,84,11,10,2C,00,00,
307404122,01C030A2,true,Rx,0,8,C0,5B,40,01,89,01,14,00,
307405274,0280142A,true,Rx,0,8,80,10,00,20,07,00,00,00,
307407040,0261300A,true,Rx,0,8,80,00,00,27,80,40,00,C0,
307408193,00613DF8,true,Rx,0,8,83,00,06,40,00,00,00,00,
307409325,01213FFC,true,Rx,0,8,CC,02,4D,00,F0,00,88,00,
307411879,0140044A,true,Rx,0,8,C0,00,00,0B,00,00,00,00,
307416346,02001022,true,Rx,0,8,00,00,00,01,35,90,10,40,
307420871,01E01266,true,Rx,0,8,C0,00,02,00,00,00,40,00,
307426971,0240102A,true,Rx,0,8,C1,00,00,00,00,00,00,00,
307428122,00613DF8,true,Rx,0,8,C1,00,06,40,00,00,00,00,
307429295,01800028,true,Rx,0,8,80,00,78,00,00,00,00,00,
307432230,01213FFC,true,Rx,0,8,0C,02,4D,00,E0,40,88,00,
307435103,0280142A,true,Rx,0,8,C0,50,00,20,07,00,00,00,
307437141,0261300A,true,Rx,0,8,C0,00,00,27,80,40,00,C0,
307438261,02A03028,true,Rx,0,8,00,90,D4,19,10,2C,80,00,
307447168,00613DF8,true,Rx,0,8,03,00,06,40,00,00,00,00,
307449113,01C030A2,true,Rx,0,8,00,5B,40,01,89,01,14,00,
307451856,0140044A,true,Rx,0,8,00,00,00,1B,00,00,00,00,
307452967,02C13428,true,Rx,0,8,C0,00,D8,80,88,00,20,00,
307454088,02E10DF4,true,Rx,0,8,C0,A9,20,A0,80,30,08,10,
307457146,01213FFC,true,Rx,0,8,4C,02,4D,00,F0,00,88,00,
307461697,02001022,true,Rx,0,8,40,00,00,01,35,90,10,40,
307462860,0240102A,true,Rx,0,8,03,00,00,00,00,00,00,00,
307463992,03C0002A,true,Rx,0,8,00,00,33,C0,27,00,9F,00,
307465128,0280142A,true,Rx,0,8,00,50,00,20,07,00,00,00,
307466303,01E01266,true,Rx,0,8,00,00,02,00,00,00,40,00,
307467427,0261300A,true,Rx,0,8,00,00,00,27,80,40,00,C0,
307468592,00613DF8,true,Rx,0,8,41,00,06,40,00,00,00,00,
307469769,01800028,true,Rx,0,8,C0,00,78,00,00,00,00,00,
307472162,02A03028,true,Rx,0,8,00,10,04,11,10,2C,00,00,
307473293,00400066,true,Rx,0,8,40,00,00,04,01,5E,40,7F,
307474476,03200008,true,Rx,0,8,00,00,00,00,00,80,00,00,
307482070,01213FFC,true,Rx,0,8,8C,02,4D,00,F0,00,88,00,
307487125,00613DF8,true,Rx,0,8,83,00,06,40,00,00,00,00,
307488257,0340024C,true,Rx,0,8,C1,00,70,01,0B,B3,00,00,
307491834,0140044A,true,Rx,0,8,40,00,00,0B,00,00,00,00,
307494068,01C030A2,true,Rx,0,8,40,5B,40,01,89,01,14,00,
307495211,0280142A,true,Rx,0,8,40,10,00,20,07,00,00,00,
307497012,0240102A,true,Rx,0,8,40,00,00,00,00,00,00,00,
307498132,0261300A,true,Rx,0,8,40,00,00,27,80,40,00,C0,
307506348,02001022,true,Rx,0,8,80,00,00,01,35,90,10,40,
307507500,00613DF8,true,Rx,0,8,C1,00,06,40,00,00,00,00,
307508631,01213FFC,true,Rx,0,8,CC,02,4D,00,E0,00,88,00,
307509850,01800028,true,Rx,0,8,00,00,78,00,00,00,00,00,
307511013,01E01266,true,Rx,0,8,40,00,02,00,00,00,40,00,
307512139,02A03028,true,Rx,0,8,00,90,84,11,10,2C,00,00,
307513261,02C13428,true,Rx,0,8,00,00,D8,80,88,00,20,00,
307514387,02E10DF4,true,Rx,0,8,00,A9,00,20,80,30,08,10,
307525091,0280142A,true,Rx,0,8,80,50,00,20,07,00,00,00,
307527180,00613DF8,true,Rx,0,8,03,00,06,40,00,00,00,00,
307528312,0261300A,true,Rx,0,8,80,00,00,27,80,40,00,C0,
307531868,0140044A,true,Rx,0,8,80,00,00,1B,00,00,00,00,
307533010,01213FFC,true,Rx,0,8,0C,02,4D,00,F0,40,88,00,
307534171,0240102A,true,Rx,0,8,81,00,00,00,00,00,00,00,
307539081,01C030A2,true,Rx,0,8,80,5B,40,01,89,01,14,00,
307542094,02A03028,true,Rx,0,8,00,90,C4,19,10,2C,00,00,
307547157,00613DF8,true,Rx,0,8,41,00,06,40,00,00,00,00,
307548289,00400066,true,Rx,0,8,80,00,00,05,01,5E,40,7F,
307549481,01800028,true,Rx,0,8,40,00,78,00,00,00,00,00,
307551643,02001022,true,Rx,0,8,C0,00,00,01,35,90,10,40,
307555083,0280142A,true,Rx,0,8,C0,50,00,28,07,00,00,00,
307556255,01E01266,true,Rx,0,8,80,00,02,00,00,00,40,00,
307557387,01213FFC,true,Rx,0,8,4C,02,4D,00,F0,00,88,00,
307558511,0261300A,true,Rx,0,8,C0,00,00,27,80,40,00,C0,
307562113,02C13428,true,Rx,0,8,40,00,D8,80,88,00,20,00,
307563233,02E10DF4,true,Rx,0,8,40,A9,20,A0,80,30,08,10,
307567009,0240102A,true,Rx,0,8,C1,00,00,00,00,00,00,00,
307568162,00613DF8,true,Rx,0,8,83,00,06,40,00,00,00,00,
307571864,0140044A,true,Rx,0,8,C0,00,00,0B,00,00,00,00,
307577146,02A03028,true,Rx,0,8,00,90,84,11,10,2C,00,00,
307578329,03200008,true,Rx,0,8,00,00,00,00,00,80,00,00,
307582114,01213FFC,true,Rx,0,8,8C,02,4D,00,E0,00,88,00,
307584235,01C030A2,true,Rx,0,8,C0,5B,40,01,89,01,14,00,
307585376,0280142A,true,Rx,0,8,00,10,00,20,07,00,00,00,
307587187,00613DF8,true,Rx,0,8,C1,00,06,40,00,00,00,00,
307588360,01800028,true,Rx,0,8,80,00,78,00,00,00,00,00,
307589495,0261300A,true,Rx,0,8,00,00,00,27,80,40,00,C0,
307596360,02001022,true,Rx,0,8,00,00,00,01,35,90,10,40,
307597533,01613FFC,true,Rx,0,8,22,00,00,00,00,00,00,00,
307600925,01E01266,true,Rx,0,8,C0,00,02,00,00,00,40,00,
307602098,0240102A,true,Rx,0,8,01,00,00,00,00,00,00,00,
307607208,00613DF8,true,Rx,0,8,03,00,06,40,00,00,00,00,
307608329,01213FFC,true,Rx,0,8,CC,02,4D,00,F0,00,88,00,
307611876,0140044A,true,Rx,0,8,00,00,00,0B,00,00,00,00,
307613006,02A03028,true,Rx,0,8,00,90,84,11,10,2C,00,00,
307615086,0280142A,true,Rx,0,8,40,50,00,20,07,00,00,00,
307617216,02C13428,true,Rx,0,8,80,00,D8,80,88,00,20,00,
307618337,02E10DF4,true,Rx,0,8,80,A9,20,A0,80,30,08,10,
307619461,0261300A,true,Rx,0,8,40,00,00,27,80,40,00,C0,
307623406,00400066,true,Rx,0,8,C0,00,00,06,01,5E,40,7F,
307627289,00613DF8,true,Rx,0,8,41,00,06,40,00,00,00,00,
307628471,01800028,true,Rx,0,8,C0,00,78,00,00,00,00,00,
307629592,01C030A2,true,Rx,0,8,00,5B,40,01,89,01,14,00,
307630738,03801028,true,Rx,0,8,04,00,20,08,9C,40,00,00,
307631903,04000002,true,Rx,0,8,80,00,01,00,F4,00,00,52,
307633048,01213FFC,true,Rx,0,8,0C,02,4D,00,E0,40,88,00,
307636993,0240102A,true,Rx,0,8,40,00,00,00,00,00,00,00,
307641622,02001022,true,Rx,0,8,40,00,00,01,35,90,10,40,
307645070,0280142A,true,Rx,0,8,80,50,00,20,07,00,00,00,
307646242,01E01266,true,Rx,0,8,00,00,02,00,00,00,40,00,
307647394,00613DF8,true,Rx,0,8,83,00,06,40,00,00,00,00,
307648519,02A03028,true,Rx,0,8,00,90,C4,19,10,2C,00,00,
307649643,0261300A,true,Rx,0,8,80,00,00,27,80,40,00,C0,
214836,0140044A,true,Rx,0,8,40,00,00,1B,00,00,00,00,
218899,03A00002,true,Rx,0,8,00,00,00,04,07,04,98,63,
220268,01213FFC,true,Rx,0,8,4C,02,4D,00,F0,00,88,00,
230146,00613DF8,true,Rx,0,8,C1,00,06,40,00,00,00,00,
231360,01800028,true,Rx,0,8,00,00,78,00,00,00,00,00,
232502,0340024C,true,Rx,0,8,01,00,60,01,0B,B3,00,00,
234983,0240102A,true,Rx,0,8,81,00,00,00,00,00,00,00,
236097,02C13428,true,Rx,0,8,C0,00,D8,80,88,00,20,00,
237200,01C030A2,true,Rx,0,8,40,5B,40,01,89,01,14,00,
238352,0280142A,true,Rx,0,8,C0,10,00,20,07,00,00,00,
239487,02E10DF4,true,Rx,0,8,C0,A9,00,20,80,30,08,10,
241878,0261300A,true,Rx,0,8,C0,00,00,27,80,40,00,C0,
245129,01213FFC,true,Rx,0,8,8C,02,4D,00,F0,00,88,00,
246249,02A03028,true,Rx,0,8,00,90,94,11,10,2C,80,00,
247433,03200008,true,Rx,0,8,00,00,00,00,00,80,00,00,
249492,02001022,true,Rx,0,8,80,00,00,01,35,90,10,40,
250638,00613DF8,true,Rx,0,8,03,00,06,40,00,00,00,00,
253983,01E01266,true,Rx,0,8,40,00,02,00,00,00,40,00,
255144,0140044A,true,Rx,0,8,80,00,00,0B,00,00,00,00,
261997,00400066,true,Rx,0,8,00,00,00,07,01,5E,40,7F,
268066,0280142A,true,Rx,0,8,00,50,00,20,07,00,00,00,
269949,0240102A,true,Rx,0,8,C1,00,00,00,00,00,00,00,
271112,00613DF8,true,Rx,0,8,41,00,06,40,00,00,00,00,
272242,01213FFC,true,Rx,0,8,CC,02,4D,00,E0,00,88,00,
273429,01800028,true,Rx,0,8,40,00,78,00,00,00,00,00,
274552,0261300A,true,Rx,0,8,00,00,00,27,80,40,00,C0,
280198,02A03028,true,Rx,0,8,00,90,84,19,10,2C,00,00,
282010,01C030A2,true,Rx,0,8,80,5B,40,01,89,01,14,00,
290121,00613DF8,true,Rx,0,8,83,00,06,40,00,00,00,00,
291241,02C13428,true,Rx,0,8,00,00,D8,80,88,00,20,00,
292362,02E10DF4,true,Rx,0,8,00,A9,20,A0,80,30,08,10,
294752,02001022,true,Rx,0,8,C0,00,00,01,35,90,10,40,
295897,01213FFC,true,Rx,0,8,0C,02,4D,00,F0,40,88,00,
297051,0140044A,true,Rx,0,8,C0,00,00,1B,00,00,00,00,
298202,0280142A,true,Rx,0,8,40,50,00,20,07,00,00,00,
299369,01E01266,true,Rx,0,8,80,00,02,00,00,00,40,00,
302617,0261300A,true,Rx,0,8,40,00,00,27,80,40,00,C0,
304966,0240102A,true,Rx,0,8,00,00,00,00,00,00,00,00,
310196,00613DF8,true,Rx,0,8,C1,00,06,40,00,00,00,00,
