Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
96936978,01E2402C,true,Rx,1,8,60,50,00,0D,C2,10,00,00,
96937548,02620028,true,Rx,1,8,68,08,00,48,00,50,00,00,
96956997,01E2402C,true,Rx,1,8,80,50,00,0D,C2,10,00,00,
96966897,02620028,true,Rx,1,8,88,08,00,48,00,50,00,00,
96972046,00E00024,true,Rx,1,8,60,00,00,00,00,00,3F,E0,
96977071,01E2402C,true,Rx,1,8,C0,50,00,0D,C2,11,00,00,
96996951,01E2402C,true,Rx,1,8,00,50,00,0D,C2,10,00,00,
96997521,02620028,true,Rx,1,8,C0,08,00,48,00,50,00,00,
97017024,01E2402C,true,Rx,1,8,40,50,00,0D,C2,10,00,00,
97026935,02620028,true,Rx,1,8,08,08,00,48,00,50,00,00,
97037161,01E2402C,true,Rx,1,8,80,50,00,2D,C2,10,00,00,
97042016,00E00024,true,Rx,1,8,80,00,00,00,00,00,3F,00,
97056968,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
97057540,02620028,true,Rx,1,8,48,0C,00,CC,00,5F,00,00,
97077040,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
97086960,02620028,true,Rx,1,8,88,0C,00,48,00,5F,00,00,
97091910,0242C07C,true,Rx,1,8,15,13,03,01,02,02,01,01,
97096967,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,10,00,00,
97111982,00E00024,true,Rx,1,8,C0,00,00,00,00,00,3F,20,
97116955,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
97117537,02620028,true,Rx,1,8,C0,0C,00,48,00,5F,00,00,
97137016,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
97146915,02620028,true,Rx,1,8,08,0C,00,48,00,5F,00,00,
97157014,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
97176978,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,11,00,00,
97177560,02620028,true,Rx,1,8,48,0C,00,48,00,5F,00,00,
97182404,00E00024,true,Rx,1,8,00,00,00,00,00,00,3F,40,
97196967,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
97206961,02620028,true,Rx,1,8,88,0C,00,48,00,5F,00,00,
97217018,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
97236930,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
97237511,02620028,true,Rx,1,8,C0,0C,00,48,00,5F,00,00,
97257148,00E00024,true,Rx,1,8,40,00,00,00,00,00,3F,60,
97257710,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,10,00,00,
97266914,02620028,true,Rx,1,8,08,0C,00,48,00,5F,00,00,
97277002,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
97296998,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
97297580,02620028,true,Rx,1,8,48,0C,00,48,00,5F,00,00,
97316965,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
97327097,00E00024,true,Rx,1,8,80,00,00,00,00,00,3F,80,
97327678,02620028,true,Rx,1,8,88,0C,00,48,00,5F,00,00,
97336997,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,10,00,00,
97356982,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
97357554,02620028,true,Rx,1,8,C0,0C,00,48,00,5F,00,00,
97371884,0242C07C,true,Rx,1,8,01,0F,5E,73,F7,44,FE,F8,
97377025,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,11,00,00,
97386892,02620028,true,Rx,1,8,08,0C,00,48,00,5F,00,00,
97397087,00E00024,true,Rx,1,8,C0,00,00,00,00,00,3F,A0,
97397659,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
97416961,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,10,00,00,
97417542,02620028,true,Rx,1,8,48,0C,00,48,00,5F,00,00,
97436971,01E2402C,true,Rx,1,8,8F,50,00,2D,C2,10,00,00,
97446925,02620028,true,Rx,1,8,88,0C,00,CC,F0,5F,45,3B,
97457024,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
97467092,00E00024,true,Rx,1,8,00,00,00,00,00,00,3F,C0,
97476981,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
97477541,02620028,true,Rx,1,8,C0,0C,00,48,F0,5F,45,3B,
97497010,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,10,00,00,
97506877,02620028,true,Rx,1,8,08,0C,00,48,F0,5F,45,3B,
97516955,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
97536982,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
97537532,02620028,true,Rx,1,8,48,0C,00,48,F0,5F,45,3B,
97542377,00E00024,true,Rx,1,8,40,00,00,00,00,00,3F,E0,
97557003,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
97566966,02620028,true,Rx,1,8,88,0C,00,48,F0,5F,45,3B,
97577002,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,11,00,00,
97596924,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
97597484,02620028,true,Rx,1,8,C0,0C,00,48,F0,5F,45,3B,
97611982,00E00024,true,Rx,1,8,80,00,00,00,00,00,3F,00,
97617039,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
97626928,02620028,true,Rx,1,8,08,0C,00,48,F0,5F,45,3B,
97636974,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
97651863,0242C07C,true,Rx,1,8,02,52,5C,52,71,06,DC,BC,
97656983,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,10,00,00,
97657544,02620028,true,Rx,1,8,48,0C,00,48,F0,5F,45,3B,
97677034,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
97681965,00E00024,true,Rx,1,8,C0,00,00,00,00,00,3F,20,
97686947,02620028,true,Rx,1,8,80,0C,00,48,F0,5F,45,3B,
97696992,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
97716915,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
97717475,02620028,true,Rx,1,8,C8,0C,00,48,F0,5F,45,3B,
97736998,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,10,00,00,
97746908,02620028,true,Rx,1,8,08,0C,00,48,F0,5F,45,3B,
97751984,00E00024,true,Rx,1,8,00,00,00,00,00,00,3F,40,
97756997,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
97777003,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,11,00,00,
97777565,02620028,true,Rx,1,8,48,0C,00,48,F0,5F,45,3B,
97796960,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
97807124,02620028,true,Rx,1,8,88,0C,00,CC,F0,5F,45,3B,
97817021,01E2402C,true,Rx,1,8,4F,50,00,2D,C2,10,00,00,
97827173,00E00024,true,Rx,1,8,40,00,00,00,00,00,3F,60,
97836945,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
97837505,02620028,true,Rx,1,8,C0,0C,00,48,F0,5F,45,3B,
97857007,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
97866875,02620028,true,Rx,1,8,08,0C,00,48,F0,5F,45,3B,
97877321,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
97897105,00E00024,true,Rx,1,8,80,00,00,00,00,00,3F,80,
97897675,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,10,00,00,
97898229,02620028,true,Rx,1,8,48,0C,00,48,F0,5F,45,3B,
97916994,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
97926956,02620028,true,Rx,1,8,88,0C,00,48,F0,5F,45,3B,
97931937,0242C07C,true,Rx,1,8,11,04,04,05,01,01,01,05,
97936973,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
97956979,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
97957539,02620028,true,Rx,1,8,C0,0C,00,48,F0,5F,45,3B,
97967134,00E00024,true,Rx,1,8,C0,00,00,00,00,00,3F,A0,
97977065,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,31,00,00,
97986900,02620028,true,Rx,1,8,08,0C,00,48,F0,5F,45,3B,
97996945,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
98016942,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
98017502,02620028,true,Rx,1,8,48,0C,00,48,F0,5F,45,3B,
98037078,00E00024,true,Rx,1,8,00,00,00,00,00,00,3F,C0,
98037650,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
98046947,02620028,true,Rx,1,8,88,0C,00,48,F0,5F,45,3B,
98057013,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,10,00,00,
98076947,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
98077518,02620028,true,Rx,1,8,C0,0C,00,48,F0,5F,45,3B,
98097018,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
98106993,00E00024,true,Rx,1,8,40,00,00,00,00,00,3F,E0,
98107554,02620028,true,Rx,1,8,08,0C,00,48,F0,5F,45,3B,
98116979,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
98136932,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,10,00,00,
98137492,02620028,true,Rx,1,8,48,0C,00,48,F0,5F,45,3B,
98157003,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
98166955,02620028,true,Rx,1,8,88,0C,00,48,F0,5F,45,3B,
98177107,00E00024,true,Rx,1,8,80,00,00,00,00,00,3F,00,
98177679,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,11,00,00,
98196947,01E2402C,true,Rx,1,8,0F,50,00,2D,C2,10,00,00,
98197517,02620028,true,Rx,1,8,C0,0C,00,CC,F0,5F,45,3B,
98211872,0242C07C,true,Rx,1,8,16,01,46,02,02,02,01,01,
98217022,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,10,00,00,
98226920,02620028,true,Rx,1,8,08,0C,00,48,F0,5F,45,3B,
98236976,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
98247182,00E00024,true,Rx,1,8,C0,00,00,00,00,00,3F,20,
98256995,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
98257545,02620028,true,Rx,1,8,48,0C,00,48,F0,5F,45,3B,
98276993,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
98286935,02620028,true,Rx,1,8,88,0C,00,48,F0,5F,45,3B,
98296971,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,10,00,00,
98317053,00E00024,true,Rx,1,8,00,00,00,00,00,00,3F,40,
98317623,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
98318187,02620028,true,Rx,1,8,C0,0C,00,48,F0,5F,45,3B,
98337015,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
98346871,02620028,true,Rx,1,8,08,0C,00,48,F0,5F,45,3B,
98356961,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
98377009,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,11,00,00,
98377560,02620028,true,Rx,1,8,48,0C,00,48,F0,5F,45,3B,
98391987,00E00024,true,Rx,1,8,40,00,00,00,00,00,3F,60,
98396981,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
98406974,02620028,true,Rx,1,8,88,0C,00,48,F0,5F,45,3B,
98416978,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
98436910,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
98437479,02620028,true,Rx,1,8,C0,0C,00,48,F0,5F,45,3B,
98457025,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,10,00,00,
98462017,00E00024,true,Rx,1,8,80,00,00,00,00,00,3F,80,
98467220,02620028,true,Rx,1,8,08,0C,00,48,F0,5F,45,3B,
98477014,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
98491893,0242C07C,true,Rx,1,8,01,03,5E,73,F7,50,01,07,
98496960,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
98497520,02620028,true,Rx,1,8,48,0C,00,48,F0,5F,45,3B,
98516990,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
98527004,02620028,true,Rx,1,8,88,0C,00,48,F0,5F,45,3B,
98537092,00E00024,true,Rx,1,8,C0,00,00,00,00,00,3F,A0,
98537663,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,10,00,00,
98556952,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
98557512,02620028,true,Rx,1,8,C0,0C,00,48,F0,5F,45,3B,
98577046,01E2402C,true,Rx,1,8,CF,50,00,2D,C2,11,00,00,
98586903,02620028,true,Rx,1,8,08,0C,00,CC,F0,5F,45,3B,
98596991,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
98602414,00E00024,true,Rx,1,8,00,00,00,00,00,00,3F,C0,
98616956,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,10,00,00,
98617516,02620028,true,Rx,1,8,48,0C,00,48,F0,5F,45,3B,
98636975,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
98646915,02620028,true,Rx,1,8,88,0C,00,48,F0,5F,45,3B,
98657045,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
98676999,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
98677560,02620028,true,Rx,1,8,C0,0C,00,48,F0,5F,45,3B,
98682351,00E00024,true,Rx,1,8,40,00,00,00,00,00,3F,E0,
98696967,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,10,00,00,
98706888,02620028,true,Rx,1,8,08,0C,00,48,F0,5F,45,3B,
98716955,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
98736960,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
98737521,02620028,true,Rx,1,8,48,0C,00,48,F0,5F,45,3B,
98751947,00E00024,true,Rx,1,8,80,00,00,00,00,00,3F,00,
98757002,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
98766921,02620028,true,Rx,1,8,88,0C,00,48,F0,5F,45,3B,
98771924,0242C07C,true,Rx,1,8,05,00,3F,9E,00,02,07,A8,
98777021,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,11,00,00,
98796943,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
98797514,02620028,true,Rx,1,8,C0,0C,00,48,F0,5F,45,3B,
98817004,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
98821997,00E00024,true,Rx,1,8,C0,00,00,00,00,00,3F,20,
98826937,02620028,true,Rx,1,8,08,0C,00,48,F0,5F,45,3B,
98836941,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
98856958,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,10,00,00,
98857506,02620028,true,Rx,1,8,48,0C,00,48,F0,5F,45,3B,
98876987,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
98886981,02620028,true,Rx,1,8,88,0C,00,48,F0,5F,45,3B,
98891995,00E00024,true,Rx,1,8,00,00,00,00,00,00,3F,40,
98896998,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
98916930,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
98917499,02620028,true,Rx,1,8,C0,0C,00,48,F0,5F,45,3B,
98937002,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,10,00,00,
98946860,02620028,true,Rx,1,8,08,0C,00,48,F0,5F,45,3B,
98957221,01E2402C,true,Rx,1,8,8F,50,00,2D,C2,10,00,00,
98961971,00E00024,true,Rx,1,8,40,00,00,00,00,00,3F,60,
98976998,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,31,00,00,
98977549,02620028,true,Rx,1,8,48,0C,00,CC,F0,5F,45,3B,
98996974,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
99006946,02620028,true,Rx,1,8,88,0C,00,48,F0,5F,45,3B,
99016982,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,10,00,00,
99031945,00E00024,true,Rx,1,8,80,00,00,00,00,00,3F,80,
99036949,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
99037509,02620028,true,Rx,1,8,C0,0C,00,48,F0,5F,45,3B,
99051882,0242C07C,true,Rx,1,8,12,04,02,02,02,02,05,01,
99057486,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
99066870,02620028,true,Rx,1,8,08,0C,00,48,F0,5F,45,3B,
99077009,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
99096952,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,10,00,00,
99097512,02620028,true,Rx,1,8,48,0C,00,48,F0,5F,45,3B,
99107043,00E00024,true,Rx,1,8,C0,00,00,00,00,00,3F,A0,
99116954,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
99126969,02620028,true,Rx,1,8,88,0C,00,48,F0,5F,45,3B,
99136963,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
99156957,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
99157517,02620028,true,Rx,1,8,C0,0C,00,48,F0,5F,45,3B,
99177114,00E00024,true,Rx,1,8,00,00,00,00,00,00,3F,C0,
99177686,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,11,00,00,
99186857,02620028,true,Rx,1,8,08,0C,00,48,F0,5F,45,3B,
99196956,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
99216983,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
99217533,02620028,true,Rx,1,8,48,0C,00,48,F0,5F,45,3B,
99236971,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
99247039,00E00024,true,Rx,1,8,40,00,00,00,00,00,3F,E0,
99247601,02620028,true,Rx,1,8,88,0C,00,48,F0,5F,45,3B,
99256983,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,10,00,00,
99276946,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
99277506,02620028,true,Rx,1,8,C0,0C,00,48,F0,5F,45,3B,
99296977,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
99306887,02620028,true,Rx,1,8,08,0C,00,48,F0,5F,45,3B,
99317071,00E00024,true,Rx,1,8,80,00,00,00,00,00,3F,00,
99317641,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
99331856,0242C07C,true,Rx,1,8,17,02,01,01,01,02,02,01,
99336955,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,10,00,00,
99337514,02620028,true,Rx,1,8,48,0C,00,48,F0,5F,45,3B,
99356994,01E2402C,true,Rx,1,8,8F,50,00,2D,C2,10,00,00,
99366914,02620028,true,Rx,1,8,88,0C,00,CC,F0,5F,45,3B,
99377035,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,11,00,00,
99387124,00E00024,true,Rx,1,8,C0,00,00,00,00,00,3F,20,
99396908,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
99397477,02620028,true,Rx,1,8,C0,0C,00,48,F0,5F,45,3B,
99416969,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,10,00,00,
99426930,02620028,true,Rx,1,8,08,0C,00,48,F0,5F,45,3B,
99436945,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
99456984,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
99457534,02620028,true,Rx,1,8,48,0C,00,48,F0,5F,45,3B,
99461978,00E00024,true,Rx,1,8,00,00,00,00,00,00,3F,40,
99477036,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
99486903,02620028,true,Rx,1,8,88,0C,00,48,F0,5F,45,3B,
99496981,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,10,00,00,
99516936,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
99517496,02620028,true,Rx,1,8,C0,0C,00,48,F0,5F,45,3B,
99531997,00E00024,true,Rx,1,8,40,00,00,00,00,00,3F,60,
99536969,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
99546899,02620028,true,Rx,1,8,08,0C,00,48,F0,5F,45,3B,
99556956,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
99576962,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,11,00,00,
99577522,02620028,true,Rx,1,8,48,0C,00,48,F0,5F,45,3B,
99596971,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
99607018,00E00024,true,Rx,1,8,80,00,00,00,00,00,3F,80,
99607579,02620028,true,Rx,1,8,88,0C,00,48,F0,5F,45,3B,
99611877,0242C07C,true,Rx,1,8,01,03,5E,73,F7,5A,FE,F8,
99617005,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
99636938,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
99637498,02620028,true,Rx,1,8,C0,0C,00,48,F0,5F,45,3B,
99657072,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,10,00,00,
99666887,02620028,true,Rx,1,8,08,0C,00,48,F0,5F,45,3B,
99677060,00E00024,true,Rx,1,8,C0,00,00,00,00,00,3F,A0,
99677632,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
99696954,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
99697514,02620028,true,Rx,1,8,48,0C,00,48,F0,5F,45,3B,
99716951,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
99727018,02620028,true,Rx,1,8,88,0C,00,48,F0,5F,45,3B,
99736980,01E2402C,true,Rx,1,8,4F,50,00,2D,C2,10,00,00,
99747058,00E00024,true,Rx,1,8,00,00,00,00,00,00,3F,C0,
99756924,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
99757495,02620028,true,Rx,1,8,C0,0C,00,CC,F0,5F,45,3B,
99777060,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,11,00,00,
99786863,02620028,true,Rx,1,8,08,0C,00,48,F0,5F,45,3B,
99796973,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
99817021,00E00024,true,Rx,1,8,40,00,00,00,00,00,3F,E0,
99817591,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,10,00,00,
99818145,02620028,true,Rx,1,8,48,0C,00,48,F0,5F,45,3B,
99836952,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
99846946,02620028,true,Rx,1,8,80,0C,00,48,F0,5F,45,3B,
99856982,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
99876978,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
99877538,02620028,true,Rx,1,8,C8,0C,00,48,F0,5F,45,3B,
99887058,00E00024,true,Rx,1,8,80,00,00,00,00,00,3F,00,
99891828,0242C07C,true,Rx,1,8,02,52,5C,52,71,06,DC,BC,
99896968,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,10,00,00,
99906878,02620028,true,Rx,1,8,08,0C,00,48,F0,5F,45,3B,
99916967,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
99936973,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
99937533,02620028,true,Rx,1,8,48,0C,00,48,F0,5F,45,3B,
99957067,00E00024,true,Rx,1,8,C0,00,00,00,00,00,3F,20,
99957638,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
99966904,02620028,true,Rx,1,8,88,0C,00,48,F0,5F,45,3B,
99977034,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,31,00,00,
99996905,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
99997465,02620028,true,Rx,1,8,C0,0C,00,48,F0,5F,45,3B,
100016999,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
100026993,00E00024,true,Rx,1,8,00,00,00,00,00,00,3F,40,
100027554,02620028,true,Rx,1,8,08,0C,00,48,F0,5F,45,3B,
100036937,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
100056974,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,10,00,00,
100057534,02620028,true,Rx,1,8,48,0C,00,48,F0,5F,45,3B,
100077014,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
100086935,02620028,true,Rx,1,8,88,0C,00,48,F0,5F,45,3B,
100097076,00E00024,true,Rx,1,8,40,00,00,00,00,00,3F,60,
100097648,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
100117108,01E2402C,true,Rx,1,8,0F,50,00,2D,C2,10,00,00,
100117679,02620028,true,Rx,1,8,C0,0C,00,CC,F0,5F,45,3B,
100136969,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,10,00,00,
100146899,02620028,true,Rx,1,8,08,0C,00,48,F0,5F,45,3B,
100157008,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
100171951,00E00024,true,Rx,1,8,80,00,00,00,00,00,3F,80,
100172521,0242C07C,true,Rx,1,8,13,01,01,01,01,02,01,04,
100176956,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,11,00,00,
100177516,02620028,true,Rx,1,8,48,0C,00,48,F0,5F,45,3B,
100196975,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
100206927,02620028,true,Rx,1,8,88,0C,00,48,F0,5F,45,3B,
100216993,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,10,00,00,
100237158,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
100237718,02620028,true,Rx,1,8,C0,0C,00,48,F0,5F,45,3B,
100241942,00E00024,true,Rx,1,8,C0,00,00,00,00,00,3F,A0,
100257010,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
100266887,02620028,true,Rx,1,8,08,0C,00,48,F0,5F,45,3B,
100276966,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
100296951,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,10,00,00,
100297510,02620028,true,Rx,1,8,48,0C,00,48,F0,5F,45,3B,
100311948,00E00024,true,Rx,1,8,00,00,00,00,00,00,3F,C0,
100316963,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
100326957,02620028,true,Rx,1,8,88,0C,00,48,F0,5F,45,3B,
100336992,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
100356967,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
100357526,02620028,true,Rx,1,8,C0,0C,00,48,F0,5F,45,3B,
100376997,01E2402C,true,Rx,1,8,4F,50,00,0D,C2,11,00,00,
100381969,00E00024,true,Rx,1,8,40,00,00,00,00,00,3F,E0,
100386847,02620028,true,Rx,1,8,08,0C,00,48,F0,5F,45,3B,
