Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
113967763,01E2402C,true,Rx,1,8,60,00,00,08,C2,11,00,00,
113977791,02620028,true,Rx,1,8,68,00,00,48,00,00,00,00,
113987818,01E2402C,true,Rx,1,8,80,00,00,08,C2,10,00,00,
114007752,01E2402C,true,Rx,1,8,C0,00,00,08,C2,10,00,00,
114008333,02620028,true,Rx,1,8,88,00,00,48,00,00,00,00,
114027783,01E2402C,true,Rx,1,8,00,00,00,08,C2,10,00,00,
114037725,0242C07C,true,Rx,1,8,01,0F,5E,73,F1,A6,01,07,
114038307,02620028,true,Rx,1,8,C8,00,00,48,00,00,00,00,
114047818,01E2402C,true,Rx,1,8,40,00,00,08,C2,10,00,00,
114067794,01E2402C,true,Rx,1,8,80,00,00,08,C2,10,00,00,
114068386,02620028,true,Rx,1,8,00,00,00,48,00,00,00,00,
114087805,01E2402C,true,Rx,1,8,C0,00,00,08,C2,10,00,00,
114097790,02620028,true,Rx,1,8,48,00,00,48,00,00,00,00,
114107836,01E2402C,true,Rx,1,8,00,00,00,08,C2,10,00,00,
114127759,01E2402C,true,Rx,1,8,40,00,00,08,C2,10,00,00,
114128329,02620028,true,Rx,1,8,88,00,00,48,00,00,00,00,
114147800,01E2402C,true,Rx,1,8,80,00,00,08,C2,10,00,00,
114157847,02620028,true,Rx,1,8,C8,00,00,48,00,00,00,00,
114167788,01E2402C,true,Rx,1,8,C0,00,00,08,C2,11,00,00,
114177908,00E00024,true,Rx,1,8,60,00,00,00,00,00,3F,00,
114187785,01E2402C,true,Rx,1,8,00,00,00,08,C2,10,00,00,
114188364,02620028,true,Rx,1,8,00,00,00,48,00,00,00,00,
114207772,01E2402C,true,Rx,1,8,40,00,00,08,C2,10,00,00,
114217787,02620028,true,Rx,1,8,48,00,00,48,00,00,00,00,
114227876,01E2402C,true,Rx,1,8,80,00,00,08,C2,10,00,00,
114247861,00E00024,true,Rx,1,8,80,00,00,00,00,00,3F,20,
114248442,01E2402C,true,Rx,1,8,C0,00,00,08,C2,10,00,00,
114249016,02620028,true,Rx,1,8,88,00,00,48,00,00,00,00,
114267802,01E2402C,true,Rx,1,8,00,00,00,08,C2,10,00,00,
114277776,02620028,true,Rx,1,8,C8,00,00,48,00,00,00,00,
114287792,01E2402C,true,Rx,1,8,40,00,00,08,C2,10,00,00,
114307787,01E2402C,true,Rx,1,8,80,00,00,08,C2,10,00,00,
114308378,02620028,true,Rx,1,8,00,00,00,48,00,00,00,00,
114317972,0242C07C,true,Rx,1,8,02,52,54,00,66,06,DC,BC,
114322830,00E00024,true,Rx,1,8,C0,00,00,00,00,00,3F,40,
114327748,01E2402C,true,Rx,1,8,C0,00,00,28,C2,10,00,00,
114337826,02620028,true,Rx,1,8,48,00,00,CC,00,00,00,00,
114347861,01E2402C,true,Rx,1,8,00,00,00,08,C2,10,00,00,
114367804,01E2402C,true,Rx,1,8,40,00,00,08,C2,11,00,00,
114368385,02620028,true,Rx,1,8,88,00,00,48,00,00,00,00,
114387771,01E2402C,true,Rx,1,8,80,00,00,08,C2,10,00,00,
114397838,00E00024,true,Rx,1,8,00,00,00,00,00,00,3F,60,
114398419,02620028,true,Rx,1,8,C8,00,00,48,00,00,00,00,
114407814,01E2402C,true,Rx,1,8,C0,00,00,08,C2,10,00,00,
114427778,01E2402C,true,Rx,1,8,00,00,00,08,C2,10,00,00,
114428369,02620028,true,Rx,1,8,00,00,00,48,00,00,00,00,
114447786,01E2402C,true,Rx,1,8,40,00,00,08,C2,10,00,00,
114457802,02620028,true,Rx,1,8,48,00,00,48,00,00,00,00,
114467901,00E00024,true,Rx,1,8,40,00,00,00,00,00,3F,80,
114468482,01E2402C,true,Rx,1,8,80,00,00,08,C2,10,00,00,
114487763,01E2402C,true,Rx,1,8,C0,00,00,08,C2,10,00,00,
114488343,02620028,true,Rx,1,8,88,00,00,48,00,00,00,00,
114507834,01E2402C,true,Rx,1,8,00,00,00,08,C2,10,00,00,
114517765,02620028,true,Rx,1,8,C8,00,00,48,00,00,00,00,
114527781,01E2402C,true,Rx,1,8,40,00,00,08,C2,10,00,00,
114537871,00E00024,true,Rx,1,8,80,00,00,00,00,00,3F,A0,
114547809,01E2402C,true,Rx,1,8,80,00,00,08,C2,10,00,00,
114548400,02620028,true,Rx,1,8,00,00,00,48,00,00,00,00,
114567755,01E2402C,true,Rx,1,8,C0,00,00,08,C2,11,00,00,
114577844,02620028,true,Rx,1,8,48,00,00,48,00,00,00,00,
114587817,01E2402C,true,Rx,1,8,00,00,00,08,C2,10,00,00,
114597778,0242C07C,true,Rx,1,8,10,30,02,02,01,03,00,01,
114607782,01E2402C,true,Rx,1,8,40,00,00,08,C2,10,00,00,
114608361,02620028,true,Rx,1,8,88,00,00,48,00,00,00,00,
114612851,00E00024,true,Rx,1,8,C0,00,00,00,00,00,3F,C0,
114627793,01E2402C,true,Rx,1,8,80,00,00,08,C2,10,00,00,
114637755,02620028,true,Rx,1,8,C8,00,00,48,00,00,00,00,
114647876,01E2402C,true,Rx,1,8,C0,00,00,08,C2,10,00,00,
114667777,01E2402C,true,Rx,1,8,00,00,00,08,C2,10,00,00,
114668367,02620028,true,Rx,1,8,00,00,00,48,00,00,00,00,
114682899,00E00024,true,Rx,1,8,00,00,00,00,00,00,3F,E0,
114687766,01E2402C,true,Rx,1,8,40,00,00,08,C2,10,00,00,
114697855,02620028,true,Rx,1,8,48,00,00,48,00,00,00,00,
114707805,01E2402C,true,Rx,1,8,80,00,00,28,C2,10,00,00,
