Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
81428465,01E2402C,true,Rx,1,8,6F,50,00,0D,C2,10,00,00,
81429025,02620028,true,Rx,1,8,60,0C,00,48,F0,5F,45,3B,
81448507,01E2402C,true,Rx,1,8,8F,50,00,0D,C2,10,00,00,
81459260,00E00024,true,Rx,1,8,60,00,00,00,00,00,3F,80,
81459809,02620028,true,Rx,1,8,88,0C,00,48,F0,5F,45,3B,
81468572,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
81483419,0242C07C,true,Rx,1,8,01,0F,5E,74,0C,42,01,07,
81488444,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
81489004,02620028,true,Rx,1,8,C8,0C,00,48,F0,5F,45,3B,
81508548,01E2402C,true,Rx,1,8,4F,50,00,0E,C2,10,00,00,
81518424,02620028,true,Rx,1,8,08,0C,00,50,F0,5F,45,3B,
81528503,01E2402C,true,Rx,1,8,8F,50,00,0E,C2,10,00,00,
81548551,01E2402C,true,Rx,1,8,CF,50,00,2E,C2,10,00,00,
81549111,02620028,true,Rx,1,8,40,0C,00,D4,F0,5F,45,3B,
81568506,01E2402C,true,Rx,1,8,0F,50,00,0E,C2,11,00,00,
81578479,02620028,true,Rx,1,8,88,0C,00,40,F0,5F,45,3B,
81583420,00224024,true,Rx,1,8,AC,A1,00,00,C1,FF,98,00,
81583992,00A24026,true,Rx,1,8,6E,9F,00,80,00,00,00,00,
81584578,00C24000,true,Rx,1,8,40,00,80,00,40,00,40,00,
81585152,01C24006,true,Rx,1,8,6C,02,00,00,F0,00,00,00,
81585737,02220002,true,Rx,1,8,40,0E,C0,00,00,00,00,00,
81586322,03200002,true,Rx,1,8,40,00,00,00,00,00,00,00,
81586908,03400002,true,Rx,1,8,00,00,00,00,00,00,00,00,
81589687,01E2402C,true,Rx,1,8,4F,50,00,0E,C2,10,00,00,
81590454,00C24000,true,Rx,1,8,40,00,80,00,40,00,40,00,
81597471,00224024,true,Rx,1,8,A4,A1,00,00,C1,FF,98,00,
81598041,00A24026,true,Rx,1,8,8A,9F,00,80,00,00,00,00,
81598627,00C24000,true,Rx,1,8,40,00,80,00,40,00,40,00,
81604472,00C24000,true,Rx,1,8,40,00,80,00,40,00,40,00,
81605044,01C24006,true,Rx,1,8,88,02,00,00,F0,00,00,00,
81608615,01E2402C,true,Rx,1,8,8F,50,00,0E,C2,10,00,00,
81609185,02620028,true,Rx,1,8,C8,0C,00,40,F0,5F,45,3B,
81611509,00224024,true,Rx,1,8,AC,A1,00,00,C1,FF,98,00,
