Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
157601295,10C41FBE,true,Rx,1,15,AA,AA,AA,AA,AA,AA,AA,AA,
157601837,120171F7,true,Rx,1,15,AA,AA,AA,AA,AA,AA,AA,AA,
157603698,0042401E,true,Rx,1,8,64,00,40,00,4C,00,80,00,
157604262,0062401E,true,Rx,1,8,60,00,5C,00,24,00,20,00,
157604847,01400002,true,Rx,1,8,60,00,A0,00,00,00,00,00,
157605432,02000014,true,Rx,1,8,60,00,00,00,00,20,00,00,
157606008,02800006,true,Rx,1,8,61,2B,AA,0D,00,3C,00,00,
157613679,0042401E,true,Rx,1,8,87,BE,43,BE,4C,00,80,00,
157614250,0062401E,true,Rx,1,8,80,00,5C,00,34,00,60,00,
157623728,0042401E,true,Rx,1,8,C7,BE,43,BE,4C,00,80,00,
157624288,0062401E,true,Rx,1,8,C0,00,5C,00,34,00,60,00,
157624863,01400002,true,Rx,1,8,80,00,E0,12,57,7E,9F,04,
157625448,02000014,true,Rx,1,8,80,00,00,00,00,20,00,00,
157635157,0042401E,true,Rx,1,8,07,CA,43,CA,4C,00,80,00,
157635729,0062401E,true,Rx,1,8,00,00,5C,00,34,00,60,00,
157643690,0042401E,true,Rx,1,8,47,CA,43,CA,4C,00,80,00,
157644260,0062401E,true,Rx,1,8,40,00,5C,00,74,00,60,00,
157644824,01400002,true,Rx,1,8,C0,00,A0,12,57,7E,9F,04,
157645409,02000014,true,Rx,1,8,C0,00,00,00,00,20,00,00,
157653625,0042401E,true,Rx,1,8,87,CA,40,96,4C,00,80,00,
157654196,0062401E,true,Rx,1,8,80,00,5C,00,74,00,60,00,
157654760,02800006,true,Rx,1,8,81,2B,BB,0D,00,4C,00,00,
157663692,0042401E,true,Rx,1,8,C7,CA,40,96,4C,00,80,00,
157664262,0062401E,true,Rx,1,8,C0,00,5C,00,74,00,60,00,
157664838,01400002,true,Rx,1,8,00,00,A0,12,57,7E,9F,04,
157665432,02000014,true,Rx,1,8,00,00,00,00,00,20,00,00,
157673574,0042401E,true,Rx,1,8,07,CA,40,96,4C,00,80,00,
157674155,0062401E,true,Rx,1,8,00,00,5C,00,74,00,60,00,
157683686,0042401E,true,Rx,1,8,47,CA,40,96,4C,00,80,00,
157684257,0062401E,true,Rx,1,8,40,00,5C,00,74,00,60,00,
157684822,01400002,true,Rx,1,8,40,00,A0,12,57,7E,9F,04,
157685405,02000014,true,Rx,1,8,40,00,00,00,00,20,00,00,
157693569,0042401E,true,Rx,1,8,87,CA,40,96,4C,00,80,00,
157694139,0062401E,true,Rx,1,8,80,00,5C,00,74,00,60,00,
157703692,0042401E,true,Rx,1,8,C7,CA,40,96,4C,00,80,00,
157704262,0062401E,true,Rx,1,8,C0,00,5C,00,74,00,60,00,
157704828,01400002,true,Rx,1,8,80,00,A0,12,57,7E,9F,04,
157705411,02000014,true,Rx,1,8,80,00,00,00,00,20,00,00,
157705977,02800006,true,Rx,1,8,C1,2B,BB,0D,00,4C,00,00,
157713618,0042401E,true,Rx,1,8,07,CA,40,96,4C,00,80,00,
157714199,0062401E,true,Rx,1,8,00,00,5C,00,74,00,60,00,
157723687,0042401E,true,Rx,1,8,47,CA,40,96,4C,00,80,00,
