Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
8492041,00E00024,true,Rx,1,8,60,00,00,00,00,00,3F,00,
8507056,01E2402C,true,Rx,1,8,60,50,00,0D,C2,10,00,00,
8507608,02620028,true,Rx,1,8,60,08,00,CC,F0,50,45,3B,
8521898,0242C07C,true,Rx,1,8,16,01,46,02,02,02,01,01,
8526995,01E2402C,true,Rx,1,8,80,50,00,0D,C2,10,00,00,
8536946,02620028,true,Rx,1,8,88,08,00,48,F0,50,45,3B,
8547139,01E2402C,true,Rx,1,8,C0,50,00,0D,C2,10,00,00,
8562007,00E00024,true,Rx,1,8,80,00,00,00,00,00,3F,20,
8566990,01E2402C,true,Rx,1,8,00,50,00,0D,C2,10,00,00,
8567551,02620028,true,Rx,1,8,C8,08,00,48,F0,50,45,3B,
8587124,01E2402C,true,Rx,1,8,40,50,00,0D,C2,10,00,00,
8596971,02620028,true,Rx,1,8,08,08,00,48,F0,50,45,3B,
8606998,01E2402C,true,Rx,1,8,80,50,00,0D,C2,10,00,00,
8627046,01E2402C,true,Rx,1,8,CF,50,00,0D,C2,10,00,00,
8627607,02620028,true,Rx,1,8,40,0C,00,48,F0,5F,45,3B,
8637062,00E00024,true,Rx,1,8,C0,00,00,00,00,00,3F,40,
8647128,01E2402C,true,Rx,1,8,0F,50,00,0D,C2,10,00,00,
8656944,02620028,true,Rx,1,8,88,0C,00,40,F0,5F,45,3B,
8667084,01E2402C,true,Rx,1,8,4F,50,00,0E,C2,10,00,00,
8686943,01E2402C,true,Rx,1,8,8F,50,00,0E,C2,11,00,00,
8687503,02620028,true,Rx,1,8,C8,0C,00,50,F0,5F,45,3B,
8707172,01E2402C,true,Rx,1,8,CF,50,00,0E,C2,10,00,00,
8717018,02620028,true,Rx,1,8,08,0C,00,40,F0,5F,45,3B,
8727096,01E2402C,true,Rx,1,8,0F,50,00,0E,C2,10,00,00,
8742093,00224024,true,Rx,1,8,AC,A1,00,00,C1,FF,98,00,
8742664,00A24026,true,Rx,1,8,6E,9F,00,80,00,00,00,00,
8743258,00C24000,true,Rx,1,8,40,00,80,00,40,00,40,00,
8743824,01C24006,true,Rx,1,8,6C,02,00,00,F0,00,00,00,
8744409,02220002,true,Rx,1,8,40,0E,C0,00,00,00,00,00,
8744995,03200002,true,Rx,1,8,40,00,00,00,00,00,00,00,
8745580,03400002,true,Rx,1,8,00,00,00,00,00,00,00,00,
8747888,01E2402C,true,Rx,1,8,4F,50,00,0E,C2,10,00,00,
8748448,02620028,true,Rx,1,8,42,0C,00,40,F0,5F,45,3B,
8749148,00C24000,true,Rx,1,8,40,00,80,00,40,00,40,00,
8756149,00224024,true,Rx,1,8,A4,A1,00,00,C1,FF,98,00,
8756711,00A24026,true,Rx,1,8,8A,9F,00,80,00,00,00,00,
8757295,00C24000,true,Rx,1,8,40,00,80,00,40,00,40,00,
8763150,00C24000,true,Rx,1,8,40,00,80,00,40,00,40,00,
8763732,01C24006,true,Rx,1,8,88,02,00,00,F0,00,00,00,
8767063,01E2402C,true,Rx,1,8,8F,50,00,0E,C2,10,00,00,
8770179,00224024,true,Rx,1,8,AC,A1,00,00,C1,FF,98,00,
8770752,00A24026,true,Rx,1,8,CA,9F,00,80,00,00,00,00,
8771336,00C24000,true,Rx,1,8,40,00,80,00,C0,00,C0,00,
8777236,00C24000,true,Rx,1,8,40,00,80,00,C0,00,C0,00,
8777806,02220002,true,Rx,1,8,C0,5E,C0,00,00,00,00,00,
8778370,02620028,true,Rx,1,8,88,0C,00,40,F0,5F,45,3B,
8778956,03200002,true,Rx,1,8,D0,00,00,00,00,00,00,00,
8779552,03400002,true,Rx,1,8,00,00,01,00,00,00,00,00,
8784140,00224024,true,Rx,1,8,A4,A1,00,00,C1,FF,98,00,
8784721,00A24026,true,Rx,1,8,0A,BF,00,80,00,00,00,00,
8785295,00C24000,true,Rx,1,8,40,00,80,00,C0,00,C0,00,
8785872,01C24006,true,Rx,1,8,CC,02,00,00,F0,00,00,00,
8787401,01E2402C,true,Rx,1,8,CF,50,00,0E,C2,10,00,00,
8791182,00C24000,true,Rx,1,8,40,00,80,00,C0,00,C0,00,
8798153,00224024,true,Rx,1,8,AC,A1,00,00,C1,FF,98,00,
8798725,00A24026,true,Rx,1,8,4E,BF,00,80,00,00,00,00,
8799298,00C24000,true,Rx,1,8,40,00,80,00,C0,00,C0,00,
8802082,0242C07C,true,Rx,1,8,01,0F,5E,73,FC,74,01,07,
8805167,00C24000,true,Rx,1,8,40,00,80,00,C0,00,C0,00,
8805749,01C24006,true,Rx,1,8,0C,02,00,00,F0,00,00,00,
8806997,01E2402C,true,Rx,1,8,0F,50,00,0E,C2,10,00,00,
8807560,02620028,true,Rx,1,8,C8,0C,00,40,F0,5F,45,3B,
8812160,00224024,true,Rx,1,8,A4,A1,00,00,C1,FF,98,00,
8812731,00A24026,true,Rx,1,8,8A,BF,00,80,00,00,00,00,
8813306,00C24000,true,Rx,1,8,40,00,80,00,C0,00,C0,00,
8813881,02220002,true,Rx,1,8,40,5E,C0,00,00,00,00,00,
8819377,00C24000,true,Rx,1,8,40,00,80,00,C0,00,C0,00,
8820759,0162402A,true,Rx,1,8,00,FD,02,04,80,00,80,00,
8826288,00224024,true,Rx,1,8,AC,A1,00,00,C1,FF,98,00,
8826860,00A24026,true,Rx,1,8,CA,BF,00,80,00,00,00,00,
8827434,00C24000,true,Rx,1,8,40,00,80,00,C0,00,C0,00,
8828010,01C24006,true,Rx,1,8,4C,02,00,00,F0,00,00,00,
8828585,01E2402C,true,Rx,1,8,4F,50,00,0E,C2,10,00,00,
8830744,0162402A,true,Rx,1,8,00,ED,12,04,80,00,80,00,
8833328,00C24000,true,Rx,1,8,40,00,80,00,C0,00,C0,00,
8836957,02620028,true,Rx,1,8,08,0C,00,43,F0,5F,45,3B,
8840297,00224024,true,Rx,1,8,A4,A1,00,00,C1,FF,98,00,
8840878,00A24026,true,Rx,1,8,0A,BF,00,80,00,00,00,00,
8841452,00C24000,true,Rx,1,8,40,00,80,00,C0,00,C0,00,
8842017,0162402A,true,Rx,1,8,00,DD,22,04,80,00,80,00,
8847199,01E2402C,true,Rx,1,8,8F,50,00,0E,C2,10,00,00,
8847770,00C24000,true,Rx,1,8,40,00,80,00,C0,00,C0,00,
8848344,01C24006,true,Rx,1,8,88,02,00,00,F0,00,00,00,
8848920,02220002,true,Rx,1,8,40,5E,C0,00,00,00,00,00,
8850740,0162402A,true,Rx,1,8,00,CD,32,04,80,00,80,00,
8854325,00224024,true,Rx,1,8,AC,A1,00,00,C1,FF,98,00,
8854896,00A24026,true,Rx,1,8,4E,BF,00,80,00,00,00,00,
8855469,00C24000,true,Rx,1,8,40,00,80,00,C0,00,C0,00,
8860738,0162402A,true,Rx,1,8,00,BD,42,04,80,00,80,00,
8861319,00C24000,true,Rx,1,8,40,00,80,00,C0,00,C0,00,
8867124,01E2402C,true,Rx,1,8,CF,50,00,0F,42,10,00,00,
8867694,02620028,true,Rx,1,8,40,0C,00,41,F0,5F,45,3B,
8868341,00224024,true,Rx,1,8,A4,A1,00,00,C1,FF,98,00,
8868907,00A24026,true,Rx,1,8,8A,BF,00,80,00,00,00,00,
8869492,00C24000,true,Rx,1,8,40,00,80,00,C0,00,C0,00,
8870068,01C24006,true,Rx,1,8,CC,02,00,00,F0,00,00,00,
8870736,0162402A,true,Rx,1,8,00,AD,52,04,80,00,80,00,
8875410,00C24000,true,Rx,1,8,40,00,80,00,C0,00,C0,00,
8875992,03200002,true,Rx,1,8,E0,00,00,00,00,00,00,00,
8876588,03400002,true,Rx,1,8,00,00,02,00,00,00,00,00,
8880738,0162402A,true,Rx,1,8,00,9D,62,04,80,00,80,00,
8882315,00224024,true,Rx,1,8,AC,A1,00,00,C1,FF,98,00,
8882887,00A24026,true,Rx,1,8,CA,BF,00,80,00,00,00,00,
8883472,00C24000,true,Rx,1,8,40,00,80,00,C0,00,C0,00,
